epoch,cls_head_accuracy,cls_head_loss,loss,lr,reg_head_loss,reg_head_mae,val_cls_head_accuracy,val_cls_head_loss,val_loss,val_reg_head_loss,val_reg_head_mae
0,0.5058823823928833,0.6956254839897156,0.5573259592056274,0.0001541861,0.21888583898544312,0.3414337635040283,0.5808081030845642,0.6877985000610352,0.35886120796203613,0.024229252710938454,0.35135218501091003
1,0.5215686559677124,0.6931880116462708,0.4031500220298767,0.0001541861,0.06589587777853012,0.37229982018470764,0.5707070827484131,0.6839451789855957,0.35335826873779297,0.020601026713848114,0.4105468988418579
2,0.5405228734016418,0.6886069178581238,0.3884357511997223,0.0001541861,0.05341056361794472,0.422832727432251,0.5707070827484131,0.6838916540145874,0.3511892855167389,0.018458126112818718,0.4302883446216583
3,0.54313725233078,0.690166175365448,0.38539808988571167,0.0001541861,0.049614258110523224,0.4351818859577179,0.5707070827484131,0.6827442049980164,0.35111457109451294,0.018941612914204597,0.42044687271118164
4,0.5424836874008179,0.6887732148170471,0.3837694823741913,0.0001541861,0.048663463443517685,0.43378639221191406,0.5707070827484131,0.6829694509506226,0.35001039505004883,0.01772785186767578,0.44035854935646057
5,0.5424836874008179,0.6849850416183472,0.3806843161582947,0.0001541861,0.0474211648106575,0.4367876946926117,0.5707070827484131,0.7039492130279541,0.3989800810813904,0.056490350514650345,0.5076588988304138
6,0.5333333611488342,0.6890506744384766,0.382173627614975,0.0001541861,0.046932484954595566,0.4195280969142914,0.5707070827484131,0.683316171169281,0.35680076479911804,0.024349596351385117,0.41394898295402527
7,0.54313725233078,0.6850065588951111,0.3793148696422577,0.0001541861,0.04604123532772064,0.3968835771083832,0.5707070827484131,0.6832552552223206,0.35052502155303955,0.0181034654378891,0.3810690641403198
8,0.5620915293693542,0.6828297972679138,0.37823766469955444,0.0001541861,0.04602326080203056,0.37864428758621216,0.5707070827484131,0.6966520547866821,0.4016643762588501,0.06272494047880173,0.43163400888442993
9,0.5542483925819397,0.683375358581543,0.3750803470611572,7.709305e-05,0.04260028526186943,0.3959999978542328,0.5707070827484131,0.6876395344734192,0.35968875885009766,0.025134116411209106,0.3979153037071228
10,0.5692810416221619,0.6826525330543518,0.37634986639022827,7.709305e-05,0.044221602380275726,0.3910841941833496,0.5707070827484131,0.6950250267982483,0.367008775472641,0.028860924765467644,0.42272326350212097
11,0.5490196347236633,0.6823710799217224,0.3745799660682678,7.709305e-05,0.042588528245687485,0.4037937819957733,0.5707070827484131,0.6933857202529907,0.3605635166168213,0.023213298991322517,0.4104606509208679
12,0.5666666626930237,0.6780536770820618,0.37087154388427734,7.709305e-05,0.04098067805171013,0.408316433429718,0.5707070827484131,0.6991882920265198,0.3650568127632141,0.024883391335606575,0.41572147607803345
13,0.5679738521575928,0.6782979965209961,0.372096449136734,3.8546525e-05,0.04208674281835556,0.4019915759563446,0.5707070827484131,0.6913145184516907,0.3603139817714691,0.023971401154994965,0.40243467688560486
14,0.5673202872276306,0.6757480502128601,0.37170538306236267,3.8546525e-05,0.04293633624911308,0.38948479294776917,0.5707070827484131,0.6994881629943848,0.3694950342178345,0.02917572669684887,0.40120235085487366
