Date_target,Actual_Return,Position,Strategy_Return,Strategy_NAV,BuyHold_NAV
2023-05-31,-0.027171575846606393,-1.0,0.027171575846606393,1.0275440893868555,0.9731942505714851
2023-06-01,0.03117638701506476,-1.0,-0.03117638701506476,0.9960031973932963,1.0040128411406348
2023-06-02,0.025257890132107705,-1.0,-0.025257890132107705,0.9711613056147467,1.029695061179356
2023-06-05,-0.0018724103815936021,-1.0,0.0018724103815936021,0.972981421595846,1.0277688533454619
2023-06-06,-0.0037552518600890913,-1.0,0.0037552518600890913,0.976642080936166,1.0239165601398663
2023-06-07,0.014319282314944294,-1.0,-0.014319282314944294,0.9627569173001211,1.0386837861464766
2023-06-08,-0.01950596319280785,-1.0,0.01950596319280785,0.9817207711291013,1.018619580443302
2023-06-09,-0.00838676933991773,-1.0,0.00838676933991773,0.9899888596049569,1.010112376819107
2023-06-12,-0.04368639103365808,-1.0,0.04368639103365808,1.0341965056639453,0.9669342281890699
2023-06-13,0.03105328278806812,-1.0,-0.03105328278806812,1.0025748285964542,0.9974317841192375
2023-06-14,-0.005001180957882786,-1.0,0.005001180957882786,1.007601445772072,0.9924559002927519
2023-06-15,0.025232862120753194,-1.0,-0.025232862120753194,0.9824948649578515,1.0178170244613944
2023-06-16,0.014715335024382634,-1.0,-0.014715335024382634,0.9681429792436597,1.0329052851069869
2023-08-03,0.1280384940463054,-1.0,-0.1280384940463054,0.8517910822662369,1.1739967943071734
2023-08-04,0.008847829101217144,-1.0,-0.008847829101217144,0.8442878230667022,1.184430205765263
2023-08-07,0.00040645999032376225,-1.0,-0.00040645999032376225,0.8439447235791389,1.1849117271081882
2023-08-08,0.0032458490524185546,-1.0,-0.0032458490524185546,0.841209847296726,1.1887640203137837
2023-08-09,0.013944995931908974,-1.0,-0.013944995931908974,0.8295605925814855,1.205457454154288
2023-08-10,-0.012056429407605004,-1.0,0.012056429407605004,0.8396226657599136,1.1910112015555636
2023-08-11,0.0006736686382865583,-1.0,-0.0006736686382865583,0.8390572287819604,1.1918138187685676
2023-08-14,-0.005943586977752165,-1.0,0.005943586977752165,0.8440590881689702,1.1847511791731484
2023-08-15,-0.01625378689757854,-1.0,0.01625378689757854,0.8578903453703436,1.1656501386180176
2023-08-16,-0.017362752340797996,-1.0,0.017362752340797996,0.8729157466656278,1.145585932914843
2023-08-17,0.008510697821235626,-1.0,-0.008510697821235626,0.8655181485353378,1.1553772750949676
2023-08-18,0.011190246419903169,-1.0,-0.011190246419903169,0.8558867763906144,1.1683788412027227
