feature,spearman_corr_with_return,spearman_pvalue,abs_spearman_corr,rf_importance
WTI_Futures_Lag2,-0.16744348162740882,0.0008349406828030633,0.16744348162740882,0.08938339298924296
WTI_Futures_Lag1,-0.15108091228465245,0.002608557870033935,0.15108091228465245,0.09856120063852271
WTI_Futures,-0.14341497236134942,0.0042893267917428505,0.14341497236134942,0.4053885342800349
WTI_Futures_MA_10,-0.12433544528944045,0.013402558693905843,0.12433544528944045,0.08043815598276068
Inventory_Price_Ratio,0.12102935045132596,0.016100005082239008,0.12102935045132596,0.12401972861044216
BB_Upper_20,-0.09374763452390446,0.06268859128297528,0.09374763452390446,0.0006099551218362564
BB_Lower_20,-0.07294725793743198,0.14785996421595288,0.07294725793743198,0.11277582635915816
US10Y,-0.026758467109407717,0.5959569410542245,0.026758467109407717,0.0556530524724125
Basis,0.0101029543165634,0.8413546606417072,0.0101029543165634,0.03119459117534374
Stocks_MA_20,-0.006898945729569507,0.891283008934613,0.006898945729569507,0.0019755623702461043
