epoch,cls_head_accuracy,cls_head_loss,loss,lr,reg_head_loss,reg_head_mae,val_cls_head_accuracy,val_cls_head_loss,val_loss,val_reg_head_loss,val_reg_head_mae
0,0.5137255191802979,0.6935169696807861,0.32168468832969666,0.00013117249,0.1980254203081131,0.3890056014060974,0.5707070827484131,0.6850358843803406,0.1526414155960083,0.030494367703795433,0.18732652068138123
1,0.5320261716842651,0.6902116537094116,0.14879988133907318,0.00013117249,0.025729950517416,0.1764390766620636,0.5707070827484131,0.6835806369781494,0.14639051258563995,0.02450294978916645,0.15361016988754272
2,0.5281046032905579,0.6911360025405884,0.14784292876720428,0.00013117249,0.024608168751001358,0.17325319349765778,0.5707070827484131,0.683897078037262,0.14577284455299377,0.023828843608498573,0.15411852300167084
3,0.5215686559677124,0.6902822256088257,0.14669513702392578,0.00013117249,0.023612653836607933,0.169091135263443,0.5707070827484131,0.6840381622314453,0.1447463184595108,0.022777173668146133,0.14890791475772858
4,0.5359477400779724,0.689232349395752,0.1453183889389038,0.00013117249,0.022423068061470985,0.16673430800437927,0.5707070827484131,0.6841752529144287,0.1444188356399536,0.022425247356295586,0.14483509957790375
5,0.5464052557945251,0.6876806616783142,0.14433403313159943,0.00013117249,0.02171541377902031,0.1642126739025116,0.5707070827484131,0.684424877166748,0.14438456296920776,0.022346455603837967,0.14565113186836243
6,0.5555555820465088,0.6856635808944702,0.14298729598522186,0.00013117249,0.02072833478450775,0.15864433348178864,0.5707070827484131,0.6846674680709839,0.14447416365146637,0.022392798215150833,0.1456971913576126
7,0.545098066329956,0.686803936958313,0.1428438425064087,0.00013117249,0.020381523296236992,0.15749415755271912,0.5707070827484131,0.6849190592765808,0.1445355862379074,0.02240937575697899,0.1455543339252472
8,0.5816993713378906,0.6828583478927612,0.14230619370937347,0.00013117249,0.020547406747937202,0.15747468173503876,0.5707070827484131,0.6849249601364136,0.144750714302063,0.02262345887720585,0.14426934719085693
9,0.572549045085907,0.6823713183403015,0.14203065633773804,0.00013117249,0.02035871520638466,0.15736080706119537,0.5707070827484131,0.6850811839103699,0.14456094801425934,0.022405831143260002,0.14425185322761536
10,0.5686274766921997,0.6822497844696045,0.14140993356704712,0.00013117249,0.019759682938456535,0.15393152832984924,0.5707070827484131,0.6854647994041443,0.14529843628406525,0.023074913769960403,0.14411665499210358
11,0.5490196347236633,0.680760383605957,0.14116451144218445,0.00013117249,0.01977982372045517,0.15499064326286316,0.5707070827484131,0.6856529116630554,0.14563298225402832,0.023375896736979485,0.14476531744003296
12,0.5673202872276306,0.6809704899787903,0.1410101354122162,0.00013117249,0.019587958231568336,0.15402977168560028,0.5707070827484131,0.6862279176712036,0.14546121656894684,0.023101618513464928,0.14450277388095856
13,0.5882353186607361,0.6776191592216492,0.14059677720069885,0.00013117249,0.019772188737988472,0.1538853943347931,0.5707070827484131,0.6868427395820618,0.14571766555309296,0.023248448967933655,0.14456965029239655
14,0.5790849924087524,0.6791572570800781,0.14108532667160034,0.00013117249,0.019986500963568687,0.1553492695093155,0.5707070827484131,0.6872140169143677,0.1460992991924286,0.02356388419866562,0.1445583999156952
15,0.5934640765190125,0.6775605082511902,0.14066748321056366,0.00013117249,0.019853336736559868,0.1558597981929779,0.5707070827484131,0.6875002384185791,0.14643901586532593,0.02385256439447403,0.14500096440315247
16,0.5699346661567688,0.6791532635688782,0.1403171271085739,0.00013117249,0.019218994304537773,0.15333037078380585,0.5707070827484131,0.687906801700592,0.14644627273082733,0.02378731034696102,0.1446680873632431
17,0.5856209397315979,0.6777496337890625,0.1398267298936844,0.00013117249,0.01897885650396347,0.15076951682567596,0.5707070827484131,0.688802182674408,0.14693418145179749,0.024115579202771187,0.14560766518115997
18,0.5843137502670288,0.6741510629653931,0.1381484568119049,0.00013117249,0.01794225536286831,0.1471175104379654,0.5707070827484131,0.6892821788787842,0.14714621007442474,0.024242006242275238,0.1459961235523224
19,0.5647059082984924,0.6752050518989563,0.13939601182937622,0.00013117249,0.019001878798007965,0.15084829926490784,0.5707070827484131,0.6896481513977051,0.1472490280866623,0.024279579520225525,0.14548107981681824
20,0.5882353186607361,0.673886775970459,0.1376679390668869,6.5586246e-05,0.01750887930393219,0.14403483271598816,0.5707070827484131,0.6892067790031433,0.14738647639751434,0.02449573203921318,0.1458292454481125
21,0.5921568870544434,0.6720143556594849,0.1384361982345581,6.5586246e-05,0.018610993400216103,0.1500634253025055,0.5707070827484131,0.6891834735870361,0.1472111940383911,0.02432459592819214,0.14510956406593323
22,0.5764706134796143,0.6719613075256348,0.13790209591388702,6.5586246e-05,0.018086349591612816,0.14737193286418915,0.5707070827484131,0.6897844076156616,0.1472449004650116,0.02425115741789341,0.1449679732322693
23,0.5790849924087524,0.6719790101051331,0.13787782192230225,6.5586246e-05,0.0180588997900486,0.1474461704492569,0.5707070827484131,0.690118670463562,0.14763842523097992,0.024585068225860596,0.14580518007278442
24,0.5686274766921997,0.670612633228302,0.13820572197437286,6.5586246e-05,0.018630433827638626,0.15171581506729126,0.5707070827484131,0.6902452707290649,0.14815513789653778,0.025079235434532166,0.14722491800785065
25,0.5803921818733215,0.6682471632957458,0.1368880271911621,6.5586246e-05,0.017734548076987267,0.1445353776216507,0.5707070827484131,0.69095379114151,0.14782388508319855,0.024621620774269104,0.14604488015174866
26,0.5856209397315979,0.668460488319397,0.13758812844753265,6.5586246e-05,0.018396588042378426,0.14823362231254578,0.5707070827484131,0.6920239925384521,0.14806963503360748,0.024676553905010223,0.1461527943611145
27,0.5843137502670288,0.6717944741249084,0.13708196580410004,6.5586246e-05,0.017295952886343002,0.14570365846157074,0.5707070827484131,0.6919708847999573,0.14825953543186188,0.02487592212855816,0.14662562310695648
28,0.5843137502670288,0.669032633304596,0.13759325444698334,6.5586246e-05,0.018299685791134834,0.15010324120521545,0.5707070827484131,0.6911937594413757,0.1479824185371399,0.024737346917390823,0.14613844454288483
29,0.5908496975898743,0.6692232489585876,0.13729128241539001,6.5586246e-05,0.01796373352408409,0.1481803059577942,0.5707070827484131,0.6917921304702759,0.1483263224363327,0.02497459203004837,0.14651267230510712
30,0.5973856449127197,0.6675312519073486,0.13701854646205902,6.5586246e-05,0.01799270696938038,0.14566276967525482,0.5707070827484131,0.6928490400314331,0.14883829653263092,0.0252980999648571,0.14722907543182373
31,0.5686274766921997,0.6693925857543945,0.13740003108978271,6.5586246e-05,0.018042288720607758,0.148809552192688,0.5707070827484131,0.6923233270645142,0.14873157441616058,0.025285130366683006,0.14722482860088348
32,0.5856209397315979,0.6685438752174377,0.13731081783771515,6.5586246e-05,0.018104413524270058,0.14717735350131989,0.5707070827484131,0.692046046257019,0.14867861568927765,0.025281595066189766,0.14726468920707703
33,0.5660130977630615,0.6720324754714966,0.1371668428182602,6.5586246e-05,0.017338374629616737,0.14285489916801453,0.5707070827484131,0.6930802464485168,0.14910416305065155,0.025522755458950996,0.1478598266839981
34,0.586928129196167,0.6666215658187866,0.13647152483463287,6.5586246e-05,0.01760788820683956,0.14577971398830414,0.5707070827484131,0.693198025226593,0.1486121416091919,0.025009723380208015,0.14642256498336792
