epoch,cls_head_accuracy,cls_head_loss,loss,lr,reg_head_loss,reg_head_mae,val_cls_head_accuracy,val_cls_head_loss,val_loss,val_reg_head_loss,val_reg_head_mae
0,0.5152941346168518,0.6972144842147827,0.398805171251297,0.002558587,0.09980902075767517,0.1724027544260025,0.4292929172515869,0.6986824870109558,0.38599950075149536,0.08637362718582153,0.16018618643283844
1,0.5150327086448669,0.6962226033210754,0.39853328466415405,0.002558587,0.099962517619133,0.17196856439113617,0.5707070827484131,0.6848800182342529,0.3800352215766907,0.08632846921682358,0.16074705123901367
2,0.5215686559677124,0.6930665969848633,0.3970791697502136,0.002558587,0.09986154735088348,0.16803716123104095,0.5707070827484131,0.6891944408416748,0.40560686588287354,0.11004990339279175,0.16647233068943024
3,0.5369934439659119,0.6910221576690674,0.39742401242256165,0.002558587,0.10108315199613571,0.16774891316890717,0.5151515007019043,0.6985030770301819,0.4112945795059204,0.11174563318490982,0.17758117616176605
4,0.5341176390647888,0.6906124949455261,0.3957749605178833,0.002558587,0.09960973262786865,0.1673658788204193,0.5707070827484131,0.6876369714736938,0.40672338008880615,0.11183427274227142,0.17803406715393066
5,0.5364705920219421,0.6890007853507996,0.3955857753753662,0.002558587,0.10011176019906998,0.1669875979423523,0.5252525210380554,0.690805196762085,0.4079512357711792,0.11170344054698944,0.17730088531970978
6,0.5571241974830627,0.6825201511383057,0.3968200385570526,0.0012792934,0.10412515699863434,0.16919191181659698,0.5252525210380554,0.69559645652771,0.3838813602924347,0.08557887375354767,0.16060344874858856
7,0.545098066329956,0.682792067527771,0.38469815254211426,0.0012792934,0.09188695251941681,0.1619711071252823,0.5707070827484131,0.6869058609008789,0.38213738799095154,0.08756179362535477,0.16150128841400146
8,0.545098066329956,0.6841790080070496,0.39223378896713257,0.0012792934,0.09882775694131851,0.1643528789281845,0.5757575631141663,0.6869404315948486,0.3941807746887207,0.09959030151367188,0.16159799695014954
9,0.5118954181671143,0.6957113742828369,0.4014766216278076,0.0012792934,0.10312474519014359,0.1709870547056198,0.5707070827484131,0.6884550452232361,0.4087487757205963,0.11350888013839722,0.18664123117923737
10,0.5160784125328064,0.6926268339157104,0.39899742603302,0.0006396467,0.10196830332279205,0.16998174786567688,0.5707070827484131,0.6880237460136414,0.4080071449279785,0.11295221000909805,0.18394021689891815
11,0.5226143598556519,0.692263126373291,0.4002636671066284,0.0006396467,0.10339059680700302,0.17145231366157532,0.5707070827484131,0.686805009841919,0.3912135064601898,0.09668122231960297,0.19375208020210266
