feature,spearman_corr_with_return,spearman_pvalue,abs_spearman_corr,rf_importance
WTI_Futures_Lag2,-0.16744348162740882,0.0008349406828030633,0.16744348162740882,0.06139352870908504
WTI_Futures_Lag1,-0.15108091228465245,0.002608557870033935,0.15108091228465245,0.11032139917574693
WTI_Futures_MA_5,-0.14503623455932252,0.003868481909373772,0.14503623455932252,0.06091623167628075
WTI_Futures,-0.14341497236134942,0.0042893267917428505,0.14341497236134942,0.3688887570153655
WTI_Futures_MA_10,-0.12433544528944045,0.013402558693905843,0.12433544528944045,0.08661325048234277
Inventory_Price_Ratio,0.12102935045132596,0.016100005082239008,0.12102935045132596,0.1224980825383604
WTI_Spot,-0.0947917209931757,0.05980644735453419,0.0947917209931757,0.0011359395514144678
BB_Upper_20,-0.09374763452390446,0.06268859128297528,0.09374763452390446,0.0004230611499256951
BB_Lower_20,-0.07294725793743198,0.14785996421595288,0.07294725793743198,0.07669502798089164
US10Y,-0.026758467109407717,0.5959569410542245,0.026758467109407717,0.0884943603908375
Basis,0.0101029543165634,0.8413546606417072,0.0101029543165634,0.020788819944818706
Stocks_MA_20,-0.006898945729569507,0.891283008934613,0.006898945729569507,0.0018315413849303785
