Date_target,NewEnergy_MeanPred,CI_low,CI_high,NewEnergy_Sigma
2024-06-26,0.00033458446975570706,0.00022922559294144277,0.00043994334656997133,5.375452898686954e-05
2024-06-27,0.00022947558632490677,0.00010297958294955886,0.0003559715897002547,6.453877723232036e-05
2024-06-28,0.0004494684025500553,0.00034771189449854187,0.0005512249106015688,5.191658574056808e-05
2024-07-01,0.0003471033176442084,0.00014745778468760426,0.0005467488506008126,0.00010185996579418577
2024-07-02,-0.000396135684837468,-0.0005615432509296176,-0.00023072811874531843,8.439161535313754e-05
2024-07-03,0.0005222109255851905,0.000453123662867321,0.00059129818830306,3.5248603427484425e-05
2024-07-04,0.00022941534973392036,0.00010339604591365112,0.00035543465355418957,6.429556317360676e-05
2024-07-05,0.0002466564467188222,-0.00014358915831285394,0.0006369020517504984,0.0001991049005263654
2024-07-08,0.00019334141741095604,-0.0009156547555998292,0.0013023375904217412,0.0005658143739850945
2024-07-09,-0.0003620697894899114,-0.0013259563458271598,0.000601816766847337,0.0004917788552741063
2024-07-10,0.0001762509861944941,0.0001418515954105937,0.0002106503769783945,1.7550709583622647e-05
2024-07-11,0.00043501108260431625,0.0001791631794154547,0.0006908589857931778,0.00013053464448411304
2024-07-12,0.00024451502151043216,-5.296095158858013e-05,0.0005419909946094445,0.0001517734556627614
2024-07-15,0.00033150570749680285,0.00027995487846393474,0.00038305653652967095,2.6301443384116373e-05
2024-07-16,0.0003197265320389827,0.0002911047673042381,0.0003483482967737273,1.4602941191196222e-05
2024-07-17,0.0002908640288617994,-3.8849686956510265e-05,0.000620577744680109,0.00016822128358077025
2024-07-18,0.00020582633092580552,-6.288512763078245e-05,0.0004745377894823935,0.00013709768293703467
2024-07-19,0.00019078847033683892,0.00018527795996130234,0.0001962989807123755,2.8114848854778496e-06
2024-07-22,0.0002405632291100058,-0.0006593191415079357,0.0011404455997279473,0.0004591236584785416
2024-07-23,0.0004852078885234554,0.00035738933900031,0.0006130264380466009,6.521354567507419e-05
2024-07-24,0.000567324290448223,0.00014299349519958338,0.0009916550856968625,0.00021649530369828552
2024-07-25,0.0003312667160458946,4.6011034742643214e-05,0.000616522397349146,0.00014553861290982214
2024-07-26,0.00036715474257162237,0.0002713455492051305,0.0004629639359381142,4.8882241513516255e-05
2024-07-29,0.0004688616344815908,0.0003888182632364879,0.0005489050057266937,4.0838454716889214e-05
2024-07-30,0.0005089892421621383,0.0004755343234216207,0.0005424441609026558,1.7068836092100793e-05
2024-07-31,0.0004134875738986222,0.0003152804775927472,0.0005116946702044972,5.010566138054847e-05
2024-08-01,0.00030235959494664423,0.0001067114409329647,0.0004980077489603237,9.982048674167323e-05
2024-08-02,0.0002090347443683099,1.3120948297929477e-06,0.00041675739390682683,0.00010598094364210048
2024-08-05,0.00034384036092090545,-1.9660673683626366e-05,0.0007073413955254373,0.0001854597115329244
2024-08-06,0.0004432967541119302,-0.0008111350908837597,0.00169772859910762,0.0006400162474467805
2024-08-07,0.00026500541898146895,-0.0004098371201920862,0.000939847958155024,0.0003443074179456914
2024-08-08,0.0001625754099560468,-0.00040060077615904625,0.0007257515960711399,0.00028733478883423115
2024-08-09,-0.00023506130797082525,-0.0009080112704844258,0.00043788865454277533,0.00034334181760897986
2024-08-12,-9.736773443081708e-05,-0.0014326862442224813,0.0012379507753608472,0.0006812849539753389
2024-08-13,-0.00010562520382738957,-0.00012117646840618335,-9.007393924859579e-05,7.934318662649893e-06
2024-08-14,-0.00014781622977321445,-0.001665477724091635,0.0013698452645452062,0.0007743170889379697
2024-08-15,0.000411543496999352,-0.0003088993543839791,0.0011319863483826831,0.0003675728833588424
2024-08-16,0.0002560514126200992,1.7061935332116193e-06,0.0005103966317069868,0.00012976796892188143
2024-08-19,0.000257174427129891,0.00013874390807812526,0.00037560494618165676,6.042373421008456e-05
2024-08-20,0.00024757739029045123,-0.0004274957026925196,0.000922650483273422,0.00034442504744029126
2024-08-21,0.00015492367623454322,-0.0009493574367958757,0.001259204789264962,0.0005634087311379689
2024-08-22,5.305464557686291e-05,-0.00027093979898116854,0.0003770490901348944,0.00016530328803981197
2024-08-23,0.00016377210141700865,-0.0008945758682103806,0.001222120071044398,0.0005399734538915252
2024-08-26,1.0582022665243022e-06,-0.0004525604134295447,0.00045467681796259327,0.00023143806923268826
2024-08-27,4.782894993261747e-05,-0.0020792723573520642,0.0021749302572172994,0.0010852557690227969
2024-08-28,-0.0003151724144025842,-0.0007625478630093195,0.00013220303420415118,0.0002282527799013956
2024-08-29,-8.409892018374055e-05,-0.001613151394298924,0.001444953553931443,0.0007801288133240732
2024-08-30,0.00022101195977304323,4.3037155317691056e-05,0.0003989867642283954,9.080347166089397e-05
2024-09-02,0.000317856649175495,-0.0005827855402593302,0.0012184988386103202,0.0004595113211402169
2024-09-03,0.000524591970955112,0.000422992079167788,0.000626191862742436,5.183667948332858e-05
2024-09-04,0.00037951815327472063,0.0003259107763359417,0.00043312553021349954,2.735070251978517e-05
2024-09-05,0.00031506936354641396,0.0002489225923861681,0.0003812161347066598,3.37483526327785e-05
2024-09-06,0.0003184027739986913,0.0002074688281434942,0.00042933671985388835,5.659895196693729e-05
2024-09-09,0.00026979140315332064,1.500495291264966e-05,0.0005245778533939916,0.0001299930868574852
2024-09-10,0.0002486768379273876,-0.0002559100817751135,0.0007532637576298887,0.0002574423059706638
2024-09-11,0.00014641586132722862,4.627532595991611e-05,0.00024655639669454114,5.1092109881281894e-05
2024-09-12,0.0003199048982848393,6.417322679441381e-05,0.0005756365697752648,0.00013047534259715584
2024-09-13,0.00019401060047023448,0.00016187802167717667,0.0002261431792632923,1.6394172853600932e-05
2024-09-18,0.00035142815627239675,0.0003287783709274909,0.00037407794161730263,1.155601293107442e-05
2024-09-19,-2.849626652448546e-07,-0.0007787499777258222,0.0007781800523953325,0.00039717602809213133
2024-09-20,0.00023678291421571607,-0.000344041718606861,0.0008176075470382932,0.0002963390983788659
2024-09-23,0.00014340847089091202,4.4849338668152946e-05,0.0002419676031136711,5.028527154222402e-05
2024-09-24,0.00023366170041421767,0.0001878641317661302,0.0002794592690623052,2.3366106453105858e-05
2024-09-25,2.1265880057335566e-05,-4.6195856416491124e-05,8.872761653116226e-05,3.4419253302972805e-05
2024-09-26,0.0002888849589790948,-3.958555489249618e-05,0.0006173554728506858,0.0001675869968732607
2024-09-27,2.1268610402918817e-06,-0.002521015724722396,0.0025252694468029797,0.0012873176457972898
2024-09-30,-0.00022566370229160418,-0.007021547860147909,0.0065702204555647,0.0034672878356409717
2024-10-08,-0.0013451238459168211,-0.003880312205074007,0.001190064513240365,0.0012934634485495847
2024-10-09,-0.0008225214551097577,-0.005707732582913778,0.004062689672694263,0.0024924546570428674
2024-10-10,-0.0004926959391169653,-0.003584274545867473,0.0025988826676335425,0.0015773360238522998
2024-10-11,-5.4277410310108354e-05,-0.0035566374801088733,0.0034480826594886563,0.0017869184029585534
2024-10-14,0.0007743417666510711,-0.003448279475173831,0.0049969630084759735,0.002154398592767807
2024-10-15,0.0011001816056523377,-9.018767544769911e-05,0.0022905508867523744,0.0006073312658673658
2024-10-16,0.0007811940081664881,0.0002448861386847301,0.0013175018776482462,0.0002736264640213051
2024-10-17,0.0003166335763215959,0.00011138774876549298,0.0005218794038776988,0.00010471725895719536
2024-10-18,0.00044210493020881847,0.00015395651358328095,0.000730253346834356,0.00014701449827833547
2024-10-21,0.00021156295524826126,-7.012602001868015e-05,0.0004932519305152026,0.00014371886493211297
2024-10-22,0.00015495532963871077,-0.0010544135516584565,0.0013643242109358778,0.0006170249394373302
2024-10-23,-0.00010796549309372831,-0.0017984432982371716,0.0015825123120497147,0.0008624886760935934
2024-10-24,-0.00028713166752704334,-0.0011532521057612938,0.000578988770707207,0.0004418981827725767
2024-10-25,-2.4274149761939813e-05,-0.0005051356595233804,0.00045658735999950086,0.00024533750498032685
2024-10-28,6.041368137233732e-05,-0.0005774202426169736,0.0006982476053616482,0.00032542547142311784
2024-10-29,2.161547124738345e-05,-0.0005767547730851332,0.0006199857155799001,0.0003052909409859779
