Date_target,NewEnergy_Sigma,Q50,Q80
2024-06-26,5.375452898686954e-05,0.0001345814488495682,0.00030914867582520377
2024-06-27,6.453877723232036e-05,0.0001345814488495682,0.00030914867582520377
2024-06-28,5.191658574056808e-05,0.0001345814488495682,0.00030914867582520377
2024-07-01,0.00010185996579418577,0.0001345814488495682,0.00030914867582520377
2024-07-02,8.439161535313754e-05,0.0001345814488495682,0.00030914867582520377
2024-07-03,3.5248603427484425e-05,0.0001345814488495682,0.00030914867582520377
2024-07-04,6.429556317360676e-05,0.0001345814488495682,0.00030914867582520377
2024-07-05,0.0001991049005263654,0.0001345814488495682,0.00030914867582520377
2024-07-08,0.0005658143739850945,0.0001345814488495682,0.00030914867582520377
2024-07-09,0.0004917788552741063,0.0001345814488495682,0.00030914867582520377
2024-07-10,1.7550709583622647e-05,0.0001345814488495682,0.00030914867582520377
2024-07-11,0.00013053464448411304,0.0001345814488495682,0.00030914867582520377
2024-07-12,0.0001517734556627614,0.0001345814488495682,0.00030914867582520377
2024-07-15,2.6301443384116373e-05,0.0001345814488495682,0.00030914867582520377
2024-07-16,1.4602941191196222e-05,0.0001345814488495682,0.00030914867582520377
2024-07-17,0.00016822128358077025,0.0001345814488495682,0.00030914867582520377
2024-07-18,0.00013709768293703467,0.0001345814488495682,0.00030914867582520377
2024-07-19,2.8114848854778496e-06,0.0001345814488495682,0.00030914867582520377
2024-07-22,0.0004591236584785416,0.0001345814488495682,0.00030914867582520377
2024-07-23,6.521354567507419e-05,0.0001345814488495682,0.00030914867582520377
2024-07-24,0.00021649530369828552,0.0001345814488495682,0.00030914867582520377
2024-07-25,0.00014553861290982214,0.0001345814488495682,0.00030914867582520377
2024-07-26,4.8882241513516255e-05,0.0001345814488495682,0.00030914867582520377
2024-07-29,4.0838454716889214e-05,0.0001345814488495682,0.00030914867582520377
2024-07-30,1.7068836092100793e-05,0.0001345814488495682,0.00030914867582520377
2024-07-31,5.010566138054847e-05,0.0001345814488495682,0.00030914867582520377
2024-08-01,9.982048674167323e-05,0.0001345814488495682,0.00030914867582520377
2024-08-02,0.00010598094364210048,0.0001345814488495682,0.00030914867582520377
2024-08-05,0.0001854597115329244,0.0001345814488495682,0.00030914867582520377
2024-08-06,0.0006400162474467805,0.0001345814488495682,0.00030914867582520377
2024-08-07,0.0003443074179456914,0.0001345814488495682,0.00030914867582520377
2024-08-08,0.00028733478883423115,0.0001345814488495682,0.00030914867582520377
2024-08-09,0.00034334181760897986,0.0001345814488495682,0.00030914867582520377
2024-08-12,0.0006812849539753389,0.0001345814488495682,0.00030914867582520377
2024-08-13,7.934318662649893e-06,0.0001345814488495682,0.00030914867582520377
2024-08-14,0.0007743170889379697,0.0001345814488495682,0.00030914867582520377
2024-08-15,0.0003675728833588424,0.0001345814488495682,0.00030914867582520377
2024-08-16,0.00012976796892188143,0.0001345814488495682,0.00030914867582520377
2024-08-19,6.042373421008456e-05,0.0001345814488495682,0.00030914867582520377
2024-08-20,0.00034442504744029126,0.0001345814488495682,0.00030914867582520377
