Date_target,Lambda_t,NewEnergy_Sigma
2024-06-26,115.97952,5.375452898686954e-05
2024-06-27,115.97952,6.453877723232036e-05
2024-06-28,115.97952,5.191658574056808e-05
2024-07-01,115.97952,0.00010185996579418577
2024-07-02,115.97952,8.439161535313754e-05
2024-07-03,115.97952,3.5248603427484425e-05
2024-07-04,115.97952,6.429556317360676e-05
2024-07-05,115.97952,0.0001991049005263654
2024-07-08,115.97952,0.0005658143739850945
2024-07-09,115.97952,0.0004917788552741063
2024-07-10,115.97952,1.7550709583622647e-05
2024-07-11,115.97952,0.00013053464448411304
2024-07-12,115.97952,0.0001517734556627614
2024-07-15,115.97952,2.6301443384116373e-05
2024-07-16,115.97952,1.4602941191196222e-05
2024-07-17,115.97952,0.00016822128358077025
2024-07-18,115.97952,0.00013709768293703467
2024-07-19,115.97952,2.8114848854778496e-06
2024-07-22,115.97952,0.0004591236584785416
2024-07-23,115.97952,6.521354567507419e-05
2024-07-24,115.97952,0.00021649530369828552
2024-07-25,115.97952,0.00014553861290982214
2024-07-26,115.97952,4.8882241513516255e-05
2024-07-29,115.97952,4.0838454716889214e-05
2024-07-30,115.97952,1.7068836092100793e-05
2024-07-31,115.97952,5.010566138054847e-05
2024-08-01,115.97952,9.982048674167323e-05
2024-08-02,115.97952,0.00010598094364210048
2024-08-05,116.33095,0.0001854597115329244
2024-08-06,114.2837,0.0006400162474467805
2024-08-07,109.0589,0.0003443074179456914
2024-08-08,104.65323,0.00028733478883423115
2024-08-09,103.48813,0.00034334181760897986
2024-08-12,103.52743,0.0006812849539753389
2024-08-13,104.91942,7.934318662649893e-06
2024-08-14,106.109924,0.0007743170889379697
2024-08-15,107.44659,0.0003675728833588424
2024-08-16,109.17806,0.00012976796892188143
2024-08-19,110.05127,6.042373421008456e-05
2024-08-20,111.01066,0.00034442504744029126
2024-08-21,111.655655,0.0005634087311379689
2024-08-22,112.04397,0.00016530328803981197
2024-08-23,112.11918,0.0005399734538915252
2024-08-26,112.012276,0.00023143806923268826
2024-08-27,112.69065,0.0010852557690227969
2024-08-28,113.38585,0.0002282527799013956
2024-08-29,114.47983,0.0007801288133240732
2024-08-30,114.98584,9.080347166089397e-05
2024-09-02,114.527016,0.0004595113211402169
2024-09-03,114.527016,5.183667948332858e-05
2024-09-04,114.527016,2.735070251978517e-05
2024-09-05,114.527016,3.37483526327785e-05
2024-09-06,114.527016,5.659895196693729e-05
2024-09-09,114.527016,0.0001299930868574852
2024-09-10,114.527016,0.0002574423059706638
2024-09-11,114.527016,5.1092109881281894e-05
2024-09-12,114.527016,0.00013047534259715584
2024-09-13,114.527016,1.6394172853600932e-05
2024-09-18,114.527016,1.155601293107442e-05
2024-09-19,114.527016,0.00039717602809213133
2024-09-20,114.527016,0.0002963390983788659
2024-09-23,114.527016,5.028527154222402e-05
2024-09-24,114.527016,2.3366106453105858e-05
2024-09-25,114.527016,3.4419253302972805e-05
2024-09-26,114.527016,0.0001675869968732607
2024-09-27,114.527016,0.0012873176457972898
2024-09-30,114.527016,0.0034672878356409717
2024-10-08,114.527016,0.0012934634485495847
2024-10-09,107.584045,0.0024924546570428674
2024-10-10,107.277756,0.0015773360238522998
2024-10-11,106.44597,0.0017869184029585534
2024-10-14,106.02974,0.002154398592767807
2024-10-15,106.02974,0.0006073312658673658
2024-10-16,106.02974,0.0002736264640213051
2024-10-17,106.19827,0.00010471725895719536
2024-10-18,105.93778,0.00014701449827833547
2024-10-21,105.31121,0.00014371886493211297
2024-10-22,105.6884,0.0006170249394373302
2024-10-23,105.28189,0.0008624886760935934
2024-10-24,105.4282,0.0004418981827725767
2024-10-25,105.45505,0.00024533750498032685
2024-10-28,105.68569,0.00032542547142311784
2024-10-29,105.66666,0.0003052909409859779
2024-10-30,104.90601,4.6546810390761805e-05
2024-10-31,105.02077,5.372817829033075e-05
2024-11-01,105.030495,0.000326023206726819
2024-11-04,105.1833,0.0001672709071098425
2024-11-05,104.840805,0.00014988295969765202
2024-11-06,105.240906,0.0001868943155254865
2024-11-07,105.79085,0.0003793769548874654
2024-11-08,106.04736,0.00012638577901236781
2024-11-11,106.9011,0.0002198046557293277
2024-11-12,106.9011,2.0051581951974337e-05
2024-11-13,106.9011,8.227162544549859e-05
2024-11-14,107.34359,0.00033493777579931465
2024-11-15,106.9621,0.00015966428342199847
2024-11-18,106.93612,0.00013403865381038027
2024-11-19,106.7201,0.00016634265534437224
2024-11-20,106.21805,0.00012820099787787216
2024-11-21,106.3383,0.00017957504425330384
2024-11-22,106.20481,0.0001082770207040782
2024-11-25,106.186485,4.916902123570661e-06
2024-11-26,106.353836,9.935408546718911e-05
2024-11-27,106.640686,4.370992024343816e-05
2024-11-28,106.23035,0.00011110256649929446
2024-11-29,106.23035,0.00033486475187358
2024-12-02,106.23035,0.0009837115744763297
2024-12-03,106.23035,0.00022074312992719717
2024-12-04,106.23035,3.954006551146227e-05
