"TradingDate","Symbol","FundClassID","NAV","AccumulativeNAV","AnnualizedYield","Frequency","MarketStatus"
"2017-04-05","000042","202000000031","1.5150","1.5150","","每日","交易日"
"2017-04-06","000042","202000000031","1.5240","1.5240","","每日","交易日"
"2017-04-07","000042","202000000031","1.5260","1.5260","","每日","交易日"
"2017-04-10","000042","202000000031","1.5250","1.5250","","每日","交易日"
"2017-04-11","000042","202000000031","1.5360","1.5360","","每日","交易日"
"2017-04-12","000042","202000000031","1.5340","1.5340","","每日","交易日"
"2017-04-13","000042","202000000031","1.5350","1.5350","","每日","交易日"
"2017-04-14","000042","202000000031","1.5206","1.5206","","每日","交易日"
"2017-04-17","000042","202000000031","1.5167","1.5167","","每日","交易日"
"2017-04-18","000042","202000000031","1.5152","1.5152","","每日","交易日"
"2017-04-19","000042","202000000031","1.5062","1.5062","","每日","交易日"
"2017-04-20","000042","202000000031","1.5155","1.5155","","每日","交易日"
"2017-04-21","000042","202000000031","1.5171","1.5171","","每日","交易日"
"2017-04-24","000042","202000000031","1.4950","1.4950","","每日","交易日"
"2017-04-25","000042","202000000031","1.4995","1.4995","","每日","交易日"
"2017-04-26","000042","202000000031","1.4995","1.4995","","每日","交易日"
"2017-04-27","000042","202000000031","1.4982","1.4982","","每日","交易日"
"2017-04-28","000042","202000000031","1.4948","1.4948","","每日","交易日"
"2017-05-02","000042","202000000031","1.4894","1.4894","","每日","交易日"
"2017-05-03","000042","202000000031","1.4830","1.4830","","每日","交易日"
"2017-05-04","000042","202000000031","1.4815","1.4815","","每日","交易日"
"2017-05-05","000042","202000000031","1.4731","1.4731","","每日","交易日"
"2017-05-08","000042","202000000031","1.4556","1.4556","","每日","交易日"
"2017-05-09","000042","202000000031","1.4540","1.4540","","每日","交易日"
"2017-05-10","000042","202000000031","1.4414","1.4414","","每日","交易日"
"2017-05-11","000042","202000000031","1.4500","1.4500","","每日","交易日"
"2017-05-12","000042","202000000031","1.4582","1.4582","","每日","交易日"
"2017-05-15","000042","202000000031","1.4665","1.4665","","每日","交易日"
"2017-05-16","000042","202000000031","1.4814","1.4814","","每日","交易日"
"2017-05-17","000042","202000000031","1.4728","1.4728","","每日","交易日"
"2017-05-18","000042","202000000031","1.4695","1.4695","","每日","交易日"
"2017-05-19","000042","202000000031","1.4719","1.4719","","每日","交易日"
"2017-05-22","000042","202000000031","1.4696","1.4696","","每日","交易日"
"2017-05-23","000042","202000000031","1.4760","1.4760","","每日","交易日"
"2017-05-24","000042","202000000031","1.4786","1.4786","","每日","交易日"
"2017-05-25","000042","202000000031","1.4956","1.4956","","每日","交易日"
"2017-05-26","000042","202000000031","1.4940","1.4940","","每日","交易日"
"2017-05-31","000042","202000000031","1.4982","1.4982","","每日","交易日"
"2017-06-01","000042","202000000031","1.5007","1.5007","","每日","交易日"
"2017-06-02","000042","202000000031","1.4985","1.4985","","每日","交易日"
"2017-06-05","000042","202000000031","1.4925","1.4925","","每日","交易日"
"2017-06-06","000042","202000000031","1.5018","1.5018","","每日","交易日"
"2017-06-07","000042","202000000031","1.5214","1.5214","","每日","交易日"
"2017-06-08","000042","202000000031","1.5309","1.5309","","每日","交易日"
"2017-06-09","000042","202000000031","1.5383","1.5383","","每日","交易日"
"2017-06-12","000042","202000000031","1.5371","1.5371","","每日","交易日"
"2017-06-13","000042","202000000031","1.5432","1.5432","","每日","交易日"
"2017-06-14","000042","202000000031","1.5260","1.5260","","每日","交易日"
"2017-06-15","000042","202000000031","1.5228","1.5228","","每日","交易日"
"2017-06-16","000042","202000000031","1.5209","1.5209","","每日","交易日"
"2017-06-19","000042","202000000031","1.5312","1.5312","","每日","交易日"
"2017-06-20","000042","202000000031","1.5281","1.5281","","每日","交易日"
"2017-06-21","000042","202000000031","1.5499","1.5499","","每日","交易日"
"2017-06-22","000042","202000000031","1.5491","1.5491","","每日","交易日"
"2017-06-23","000042","202000000031","1.5621","1.5621","","每日","交易日"
"2017-06-26","000042","202000000031","1.5849","1.5849","","每日","交易日"
"2017-06-27","000042","202000000031","1.5870","1.5870","","每日","交易日"
"2017-06-28","000042","202000000031","1.5794","1.5794","","每日","交易日"
"2017-06-29","000042","202000000031","1.5877","1.5877","","每日","交易日"
"2017-06-30","000042","202000000031","1.5879","1.5879","","最后一日","交易日"
"2017-07-03","000042","202000000031","1.5847","1.5847","","每日","交易日"
"2017-07-04","000042","202000000031","1.5716","1.5716","","每日","交易日"
"2017-07-05","000042","202000000031","1.5849","1.5849","","每日","交易日"
"2017-07-06","000042","202000000031","1.5861","1.5861","","每日","交易日"
"2017-07-07","000042","202000000031","1.5883","1.5883","","每日","交易日"
"2017-07-10","000042","202000000031","1.5885","1.5885","","每日","交易日"
"2017-07-11","000042","202000000031","1.5929","1.5929","","每日","交易日"
"2017-07-12","000042","202000000031","1.5876","1.5876","","每日","交易日"
"2017-07-13","000042","202000000031","1.5978","1.5978","","每日","交易日"
"2017-07-14","000042","202000000031","1.6081","1.6081","","每日","交易日"
"2017-07-17","000042","202000000031","1.5902","1.5902","","每日","交易日"
"2017-07-18","000042","202000000031","1.5983","1.5983","","每日","交易日"
"2017-07-19","000042","202000000031","1.6247","1.6247","","每日","交易日"
"2017-07-20","000042","202000000031","1.6323","1.6323","","每日","交易日"
"2017-07-21","000042","202000000031","1.6319","1.6319","","每日","交易日"
"2017-07-24","000042","202000000031","1.6373","1.6373","","每日","交易日"
"2017-07-25","000042","202000000031","1.6268","1.6268","","每日","交易日"
"2017-07-26","000042","202000000031","1.6233","1.6233","","每日","交易日"
"2017-07-27","000042","202000000031","1.6245","1.6245","","每日","交易日"
"2017-07-28","000042","202000000031","1.6343","1.6343","","每日","交易日"
"2017-07-31","000042","202000000031","1.6483","1.6483","","每日","交易日"
"2017-08-01","000042","202000000031","1.6553","1.6553","","每日","交易日"
"2017-08-02","000042","202000000031","1.6494","1.6494","","每日","交易日"
"2017-08-03","000042","202000000031","1.6395","1.6395","","每日","交易日"
"2017-08-04","000042","202000000031","1.6296","1.6296","","每日","交易日"
"2017-08-07","000042","202000000031","1.6447","1.6447","","每日","交易日"
"2017-08-08","000042","202000000031","1.6459","1.6459","","每日","交易日"
"2017-08-09","000042","202000000031","1.6447","1.6447","","每日","交易日"
"2017-08-10","000042","202000000031","1.6369","1.6369","","每日","交易日"
"2017-08-11","000042","202000000031","1.6041","1.6041","","每日","交易日"
"2017-08-14","000042","202000000031","1.6232","1.6232","","每日","交易日"
"2017-08-15","000042","202000000031","1.6292","1.6292","","每日","交易日"
"2017-08-16","000042","202000000031","1.6240","1.6240","","每日","交易日"
"2017-08-17","000042","202000000031","1.6365","1.6365","","每日","交易日"
"2017-08-18","000042","202000000031","1.6365","1.6365","","每日","交易日"
"2017-08-21","000042","202000000031","1.6481","1.6481","","每日","交易日"
"2017-08-22","000042","202000000031","1.6463","1.6463","","每日","交易日"
"2017-08-23","000042","202000000031","1.6421","1.6421","","每日","交易日"
"2017-08-24","000042","202000000031","1.6317","1.6317","","每日","交易日"
"2017-08-25","000042","202000000031","1.6568","1.6568","","每日","交易日"
"2017-08-28","000042","202000000031","1.6685","1.6685","","每日","交易日"
"2017-08-29","000042","202000000031","1.6671","1.6671","","每日","交易日"
"2017-08-30","000042","202000000031","1.6717","1.6717","","每日","交易日"
"2017-08-31","000042","202000000031","1.6662","1.6662","","每日","交易日"
"2017-09-01","000042","202000000031","1.6703","1.6703","","每日","交易日"
"2017-09-04","000042","202000000031","1.6772","1.6772","","每日","交易日"
"2017-09-05","000042","202000000031","1.6766","1.6766","","每日","交易日"
"2017-09-06","000042","202000000031","1.6784","1.6784","","每日","交易日"
"2017-09-07","000042","202000000031","1.6693","1.6693","","每日","交易日"
"2017-09-08","000042","202000000031","1.6666","1.6666","","每日","交易日"
"2017-09-11","000042","202000000031","1.6716","1.6716","","每日","交易日"
"2017-09-12","000042","202000000031","1.6753","1.6753","","每日","交易日"
"2017-09-13","000042","202000000031","1.6793","1.6793","","每日","交易日"
