date,OVX_index
2016/2/18,67.49
2016/2/19,62.46
2016/2/22,62.84
2016/2/23,65.03
2016/2/24,66.09
2016/2/25,63.74
2016/2/26,59.96
2016/2/29,60.01
2016/3/1,56.84
2016/3/2,53.37
2016/3/3,52.57
2016/3/4,51.89
2016/3/7,52.8
2016/3/8,54.04
2016/3/9,51.74
2016/3/10,51.98
2016/3/11,50.25
2016/3/14,50.17
2016/3/15,48.98
2016/3/16,43.98
2016/3/17,46.22
2016/3/18,44.98
2016/3/21,45.09
2016/3/22,44.12
2016/3/23,44.58
2016/3/24,44.96
2016/3/25,
2016/3/28,45.98
2016/3/29,46.63
2016/3/30,46.38
2016/3/31,45.91
2016/4/1,47.76
2016/4/4,50.89
2016/4/5,50.16
2016/4/6,46.16
2016/4/7,46.5
2016/4/8,47.42
2016/4/11,49.04
2016/4/12,48.78
2016/4/13,48.79
2016/4/14,46.37
2016/4/15,51.27
2016/4/18,46.45
2016/4/19,43.93
2016/4/20,43.67
2016/4/21,43.76
2016/4/22,41.97
2016/4/25,44.24
2016/4/26,43.51
2016/4/27,43.64
2016/4/28,42.84
2016/4/29,42.52
2016/5/2,45.15
2016/5/3,45.78
2016/5/4,44.76
2016/5/5,44.82
2016/5/6,42.47
2016/5/9,44.14
2016/5/10,42.28
2016/5/11,42.02
2016/5/12,41.5
2016/5/13,41.57
2016/5/16,42.03
2016/5/17,42.75
2016/5/18,42.87
2016/5/19,42.4
2016/5/20,40.17
2016/5/23,39.44
2016/5/24,38.02
2016/5/25,35.94
2016/5/26,36.56
2016/5/27,35.97
2016/5/30,
2016/5/31,38.08
2016/6/1,40
2016/6/2,36.64
2016/6/3,34.81
2016/6/6,35.61
2016/6/7,36.19
2016/6/8,35.17
2016/6/9,35.9
2016/6/10,39.95
2016/6/13,42.72
2016/6/14,43.07
2016/6/15,42.58
2016/6/16,44.49
2016/6/17,41.35
2016/6/20,38.99
2016/6/21,40.37
2016/6/22,43.25
2016/6/23,40.1
2016/6/24,43.33
2016/6/27,42.85
2016/6/28,40.18
2016/6/29,38.29
2016/6/30,38.09
2016/7/1,36.18
2016/7/4,
2016/7/5,40.08
2016/7/6,41.43
2016/7/7,43.24
2016/7/8,41.41
2016/7/11,42.51
2016/7/12,39.67
2016/7/13,43.1
2016/7/14,38.3
2016/7/15,36.66
2016/7/18,38.15
2016/7/19,37.2
2016/7/20,37.02
2016/7/21,38.13
2016/7/22,38.85
2016/7/25,40.97
2016/7/26,41.27
2016/7/27,41.6
2016/7/28,42.93
2016/7/29,41.08
2016/8/1,44.22
2016/8/2,45.7
2016/8/3,44.64
2016/8/4,43.1
2016/8/5,41.5
2016/8/8,41.14
2016/8/9,39.76
2016/8/10,39.32
2016/8/11,39.29
2016/8/12,37.78
2016/8/15,37.28
2016/8/16,37.45
2016/8/17,35.12
2016/8/18,36.75
2016/8/19,34.88
2016/8/22,36.41
2016/8/23,37.53
2016/8/24,37.46
2016/8/25,36.76
2016/8/26,36.05
2016/8/29,36.72
2016/8/30,38.03
2016/8/31,39.5
2016/9/1,41.22
2016/9/2,38.64
2016/9/5,
2016/9/6,39.85
2016/9/7,38.63
2016/9/8,38.21
2016/9/9,39.72
2016/9/12,39.16
2016/9/13,41.1
2016/9/14,42.47
2016/9/15,40.9
2016/9/16,39.86
2016/9/19,39.66
2016/9/20,40.99
2016/9/21,39.85
2016/9/22,41.57
2016/9/23,43.89
2016/9/26,44.9
2016/9/27,43.88
2016/9/28,45.24
2016/9/29,42.05
2016/9/30,39.31
2016/10/3,38.04
2016/10/4,37.66
2016/10/5,36.65
2016/10/6,35.92
2016/10/7,36.6
2016/10/10,36.57
2016/10/11,38.08
2016/10/12,39.05
2016/10/13,37.22
2016/10/14,35.55
2016/10/17,34.88
2016/10/18,36.37
2016/10/19,32.72
2016/10/20,32.48
2016/10/21,32.51
2016/10/24,32.79
2016/10/25,33.93
2016/10/26,35.39
2016/10/27,35.86
2016/10/28,37.76
2016/10/31,40.96
2016/11/1,40.08
2016/11/2,40.86
2016/11/3,41.49
2016/11/4,43.69
2016/11/7,44.2
2016/11/8,43.56
2016/11/9,41.25
2016/11/10,42.44
2016/11/11,45.31
2016/11/14,50.17
2016/11/15,49.43
2016/11/16,50.09
2016/11/17,47.37
2016/11/18,46.56
2016/11/21,45.71
2016/11/22,46.69
2016/11/23,47.54
2016/11/24,
2016/11/25,53.46
2016/11/28,52.56
2016/11/29,55.09
2016/11/30,44.25
2016/12/1,40.45
2016/12/2,35.51
2016/12/5,37
2016/12/6,37.11
2016/12/7,36.05
2016/12/8,35.03
2016/12/9,35.21
2016/12/12,30.3
2016/12/13,31.35
2016/12/14,33.97
2016/12/15,33.58
2016/12/16,29.18
2016/12/19,29.23
2016/12/20,27.43
2016/12/21,28.39
2016/12/22,30.29
2016/12/23,29.9
2016/12/26,
2016/12/27,30
2016/12/28,29.91
2016/12/29,30.01
2016/12/30,30.83
2017/1/2,
2017/1/3,32.88
2017/1/4,32.36
2017/1/5,31.56
2017/1/6,30.47
2017/1/9,33.73
2017/1/10,33.61
2017/1/11,32.95
2017/1/12,32.37
2017/1/13,30.73
2017/1/16,
2017/1/17,31.25
2017/1/18,31.24
2017/1/19,30.88
2017/1/20,29.19
2017/1/23,30.79
2017/1/24,29.59
2017/1/25,30.41
2017/1/26,29.59
2017/1/27,29.78
2017/1/30,30.94
2017/1/31,31.33
2017/2/1,30.65
2017/2/2,29.39
2017/2/3,28.11
2017/2/6,29.37
2017/2/7,29.61
2017/2/8,29.09
2017/2/9,28.25
2017/2/10,26.43
2017/2/13,26.99
2017/2/14,27.49
2017/2/15,27.75
2017/2/16,27.37
2017/2/17,25.29
2017/2/20,
2017/2/21,25.79
2017/2/22,27.09
2017/2/23,25.79
2017/2/24,25.72
2017/2/27,25.01
2017/2/28,25.46
2017/3/1,24.67
2017/3/2,25.94
