Date_target,Actual_Return,Position,Strategy_Return,Strategy_NAV,BuyHold_NAV
2023-03-30,0.018074148582498593,-1.0,-0.018074148582498593,0.982088209209866,1.018238474530251
2023-03-31,0.017001058060870593,-1.0,-0.017001058060870593,0.9655327990460733,1.0356975972105553
2023-04-03,0.05604559594105038,-1.0,-0.05604559594105038,0.9129074226618545,1.0954013245770322
2023-04-04,0.0,-1.0,-0.0,0.9129074226618545,1.0954013245770322
2023-04-05,-0.0004269985186173289,-1.0,0.0004269985186173289,0.913297316014984,1.0949336896809556
2023-04-06,0.00028475832877019545,-1.0,-0.00028475832877019545,0.9130372840225002,1.0952455255653688
2023-04-10,-0.007141867019033599,-1.0,0.007141867019033599,0.919581415731667,1.0874512934826415
2023-04-11,0.0186044923214934,-1.0,-0.0186044923214934,0.9026312340135094,1.1078721434816128
2023-04-12,0.018955279875836988,-1.0,-0.018955279875836988,0.8856827454865388,1.129072464261074
2023-04-13,-0.00873606386285562,-1.0,0.00873606386285562,0.893454022274006,1.1192517746518333
2023-04-14,0.004030769059586438,-1.0,-0.004030769059586438,0.8898599637209521,1.1237723246009372
2023-04-17,-0.01749152639822538,-1.0,0.01749152639822538,0.9055618978281428,1.1042867443941193
2023-04-18,-0.0015539027099905924,-1.0,0.0015539027099905924,0.9069701467728032,1.102572122752019
2023-04-19,-0.020424908276372868,-1.0,0.020424908276372868,0.9256854069395563,1.0802806142381978
2023-04-20,-0.024836989756020837,-1.0,0.024836989756020837,0.9489645410337855,1.0537801537985996
2023-04-21,0.00898320776769644,-1.0,-0.00898320776769644,0.9404779707801234,1.0632891264539703
2023-04-24,0.015131976823006441,-1.0,-0.015131976823006441,0.926353812648071,1.0795011434577078
2023-04-25,-0.02381930716981419,-1.0,0.02381930716981419,0.9486838053865873,1.054091989683013
2023-04-26,-0.033993378007582085,-1.0,0.033993378007582085,0.9814871622831502,1.0188620273685343
2023-04-27,0.006861305480174958,-1.0,-0.006861305480174958,0.9747759292767508,1.0258767886707714
2023-04-28,0.025355832508257625,-1.0,-0.025355832508257625,0.950370392975984,1.052221331168163
2023-05-01,-0.014174007180748318,-1.0,0.014174007180748318,0.9639368682821495,1.0374123377831987
2023-05-02,-0.054025540387353785,-1.0,0.054025540387353785,1.0174465075674703,0.9828526537388371
2023-05-03,-0.044430100076951085,-1.0,0.044430100076951085,1.0636710340764226,0.9401402952260445
2023-05-04,0.006445760401040478,-1.0,-0.006445760401040478,1.056836914655294,0.9462197867361282
2023-05-05,0.037667073523529444,-1.0,-0.037667073523529444,1.0177693601185651,0.9825408773196954
2023-05-08,0.01932660277326006,-1.0,-0.01932660277326006,0.998288194729307,1.0017147405726432
2023-05-09,0.009447922633489923,-1.0,-0.009447922633489923,0.9889008603326898,1.0112237132280137
2023-05-10,-0.007426977493639411,-1.0,0.007426977493639411,0.9962727462953184,1.0037411980991566
