Date_target,Oil_GRU_z_used,NewEnergy_MeanPred,NewEnergy_Sigma,CI_low,CI_high,ConfLevel,RiskLevel
2023-04-12,16.41029984074292,0.16364648804920626,1e-09,0.16364648608920626,0.16364649000920625,0.95,LOW
2023-04-13,15.051984425649989,-0.3250925895250758,1.8849271606719595,-4.019549824442117,3.369364645391965,0.95,HIGH
2023-04-14,16.394845053702088,-0.329603169705895,0.9756579914442371,-2.2418928329365997,1.5826864935248097,0.95,LOW
2023-04-17,16.1202890196528,-0.240947257138016,0.9743735482449457,-2.15071941169811,1.6688248974220776,0.95,LOW
2023-04-18,17.93696629707463,-0.2574146788175284,0.9457838910684232,-2.1111511053116376,1.596321747676581,0.95,LOW
2023-04-19,18.020310049976658,-0.1440330012084845,0.9927892237632524,-2.0898998797844595,1.8018338773674902,0.95,MEDIUM
2023-04-20,19.90978319799068,-0.14007682659513238,0.942365245826192,-1.9871127084144686,1.7069590552242038,0.95,LOW
2023-04-21,21.84456699592548,-0.027313212920423657,0.9982834360207943,-1.9839487475211803,1.929322321680333,0.95,MEDIUM
2023-04-24,20.517749712143278,0.07079772549661656,0.9976873286243108,-1.8846694386070324,2.0262648896002657,0.95,MEDIUM
2023-04-25,19.17001371281901,-0.02701019609377725,0.9778470422580473,-1.94359039891955,1.8895700067319956,0.95,LOW
2023-04-26,21.60828290000811,-0.09480967555238112,0.9788538297859559,-2.0133631819328546,1.8237438308280924,0.95,LOW
2023-04-27,24.26121273886647,0.059313953514947726,1.009936998142774,-1.9201625628448893,2.0387904698747845,0.95,HIGH
2023-04-28,21.91215846216272,0.18984639643052353,1.0123478710083949,-1.7943554307459304,2.1740482236069774,0.95,HIGH
2023-05-01,19.62014577743144,0.013005428430013344,0.9985796857406884,-1.9442107556217358,1.9702216124817626,0.95,MEDIUM
2023-05-02,22.33589166381576,-0.10898689475527534,0.9944644667637049,-2.058137249612137,1.8401634601015862,0.95,MEDIUM
2023-05-03,26.11421679580553,0.07312196562471684,1.0035468841205144,-1.8938299272514914,2.040073858500925,0.95,HIGH
2023-05-04,26.75800525598181,0.2630500801113354,1.0282509484058873,-1.7523217787642038,2.2784219389868747,0.95,HIGH
2023-05-05,23.08608248435934,0.28818717761661533,0.9433517254494397,-1.5607822042642863,2.137156559497517,0.95,LOW
2023-05-08,19.607729824605062,0.035005987095853175,1.0207853523226909,-1.9657333034566207,2.035745277648327,0.95,HIGH
2023-05-09,19.66444707026418,-0.1567131373282572,1.009340758710114,-2.1350210244000807,1.821594749743566,0.95,HIGH
2023-05-10,19.95056943817869,-0.09951312688358,0.9255222151137202,-1.9135366685064716,1.7145104147393115,0.95,LOW
2023-05-11,21.281944369628793,-0.07201458135414196,0.935835340738039,-1.9062518492006983,1.7622226864924144,0.95,LOW
2023-05-12,23.00366388541413,0.014531498908708695,0.9645532482125645,-1.8759928675879178,1.9050558654053351,0.95,LOW
2023-05-15,23.666367743498178,0.11175626186246079,0.9755520913063332,-1.8003258370979522,2.023838360822874,0.95,LOW
2023-05-16,20.76731871680975,0.15064046837882067,0.9512686056660322,-1.7138459987266024,2.015126935484244,0.95,LOW
2023-05-17,21.70803700534602,-0.04945928073883582,1.007188632698426,-2.023549000827751,1.9246304393500793,0.95,HIGH
2023-05-18,19.35649889813375,0.05241807174250157,0.957718671824076,-1.8247105250326874,1.9295466685176905,0.95,LOW
2023-05-19,21.48917016100717,-0.1174095754832975,0.9929694161021342,-2.0636296310434803,1.8288104800768854,0.95,MEDIUM
2023-05-22,21.90367722113336,0.04313560158243385,0.9861801141933039,-1.8897774222364419,1.9760486254013094,0.95,MEDIUM
2023-05-23,22.29657709773511,0.05832211951840943,0.9464514686624901,-1.7967227590600712,1.91336699809689,0.95,LOW
2023-05-24,21.38942391559561,0.09471395592361609,0.9495505380737905,-1.7664050987010134,1.9558330105482455,0.95,LOW
