Date_target,Oil_GRU_z_used,NewEnergy_MeanPred,NewEnergy_Sigma,CI_low,CI_high,ConfLevel,RiskLevel
2023-04-14,36.098290026834626,-0.6947738495452397,1e-09,-0.6947738515052397,-0.6947738475852396,0.95,LOW
2023-04-17,36.156528420729664,0.3433522366660664,2.6302037265040243,-4.811847067281821,5.4985515406139545,0.95,HIGH
2023-04-18,37.98156980178389,0.13180987304030156,0.9070843954948852,-1.6460755421296733,1.9096952882102767,0.95,LOW
2023-04-19,38.13186970944004,0.19013069569178698,0.9432577658780573,-1.6586545254292053,2.0389159168127793,0.95,LOW
2023-04-20,40.28315390169442,0.12753740092470434,0.9180901518011865,-1.671919296605621,1.9269940984550298,0.95,LOW
2023-04-21,42.29672654626972,0.1892438520901506,0.9585558582870666,-1.6895256301524997,2.068013334332801,0.95,LOW
2023-04-24,41.013773456971734,0.22794234046162376,0.9580240025864507,-1.6497847046078196,2.1056693855310673,0.95,LOW
2023-04-25,39.9502424856952,0.14821838049728142,0.9474744693221359,-1.708831579374105,2.0052683403686675,0.95,LOW
2023-04-26,42.61081187341924,0.09084751487400866,0.9468012370574022,-1.7648829097584995,1.9465779395065168,0.95,LOW
2023-04-27,43.8523649709213,0.1862621638960058,0.9785680533428792,-1.7317312206560374,2.104255548448049,0.95,MEDIUM
2023-04-28,41.78070440069552,0.18705773721426622,0.9530370773941316,-1.6808949344782316,2.0550104089067642,0.95,LOW
2023-05-01,39.34210870264945,0.10777636758541198,0.9711154216378329,-1.7956098588247404,2.0111625939955644,0.95,LOW
2023-05-02,40.94196721046195,0.03476281887005617,0.978756815424591,-1.8836005393621422,1.9531261771022546,0.95,MEDIUM
2023-05-03,46.961995319897895,0.08035274106714474,0.9632218427456889,-1.8075620707144056,1.968267552848695,0.95,LOW
2023-05-04,51.22966690060791,0.3391799120249007,1.0481933347062578,-1.7152790239993645,2.3936388480491657,0.95,HIGH
2023-05-05,49.37230014406801,0.4707372462839077,1.005506282396941,-1.5000550672140966,2.441529559781912,0.95,HIGH
2023-05-08,44.46134964898299,0.3702463213346251,0.9596401400440593,-1.5106483531517312,2.251140995820981,0.95,LOW
2023-05-09,42.70293859657142,0.25445988386265694,1.0154115223282638,-1.7357466999007403,2.244666467626054,0.95,HIGH
2023-05-10,43.13421094508596,0.18844464182498655,0.9560001208532097,-1.6853155950473044,2.0622048786972775,0.95,LOW
2023-05-11,45.06842465354992,0.16783608730423283,0.9362796119367394,-1.6672719520917763,2.0029441267002417,0.95,LOW
2023-05-12,47.31739644840984,0.2203714486578282,0.9659006703612424,-1.672793865250207,2.113536762565863,0.95,LOW
2023-05-15,48.361490635257695,0.2798849936758958,0.9729188893041377,-1.6270360293602142,2.186806016712006,0.95,LOW
2023-05-16,45.94968308144365,0.2780185789607388,0.9532817405891802,-1.5904136325940545,2.146450790515532,0.95,LOW
2023-05-17,46.95298974465374,0.19513521807954082,0.9798764643846326,-1.725422652114339,2.115693088273421,0.95,MEDIUM
2023-05-18,43.77218779870241,0.21340802502119216,0.955673556484368,-1.659712145688169,2.0865281957305535,0.95,LOW
2023-05-19,44.39134713467885,0.11784130756471067,0.9967503251670362,-1.8357893297626802,2.0714719448921013,0.95,MEDIUM
2023-05-22,44.61863608937314,0.11929712619927701,0.9504183902846036,-1.7435229187585461,1.9821171711571002,0.95,LOW
2023-05-23,44.157181944716726,0.08977585858741,0.9470345080177816,-1.766411777127442,1.945963494302262,0.95,LOW
2023-05-24,42.69271466854237,0.048650529060394465,0.9549182094738338,-1.8229891615083196,1.9202902196291085,0.95,LOW
2023-05-25,41.39795042075349,-0.004050119191688184,0.9758678299939427,-1.916751065979816,1.9086508275964396,0.95,LOW
2023-05-26,43.42335158660394,-0.05170207495618584,0.9738658475593741,-1.960479136172559,1.8570749862601874,0.95,LOW
2023-05-30,41.78960402507335,0.024971907778184033,0.9881944955654103,-1.9118893035300202,1.9618331190863882,0.95,MEDIUM
2023-05-31,45.70710322572838,-0.045128043512252525,0.9810877149696172,-1.9680599648527022,1.8778038778281971,0.95,MEDIUM
2023-06-01,47.36885405326859,0.13268822043356943,1.0240860671290013,-1.874520471139273,2.139896912006412,0.95,HIGH
2023-06-02,43.72041603656988,0.15630097045164526,0.9777873947658786,-1.7601623232894767,2.0727642641927675,0.95,LOW
2023-06-05,41.308439110305564,0.060196199888144064,1.0152640794965206,-1.9297213959250366,2.0501137957013245,0.95,HIGH
2023-06-06,42.71624881546769,-0.0028194133340984084,0.9887795766893682,-1.94082738364526,1.9351885569770633,0.95,MEDIUM
2023-06-07,44.06966339355756,0.03888824726902074,0.9700919274272922,-1.862491930488472,1.9402684250265136,0.95,LOW
2023-06-08,42.736259808578566,0.06441784264176986,0.9707175873711945,-1.8381886286057714,1.967024313889311,0.95,LOW
2023-06-09,45.44203143181961,0.0033543591441470566,0.9721328151074137,-1.9020259584663837,1.908734676754678,0.95,LOW
2023-06-12,46.63153012905249,0.11495400809770029,0.9981664625127297,-1.84145225842725,2.0713602746226503,0.95,MEDIUM
2023-06-13,50.81685900860603,0.12358612581070971,0.9694362812658772,-1.7765089854704095,2.023681237091829,0.95,LOW
2023-06-14,47.569895919227726,0.3019976807551529,1.02633114779716,-1.7096113689272805,2.313606730437586,0.95,HIGH
2023-06-15,48.95561861310656,0.18724683933070163,1.0036447455165904,-1.7798968618818156,2.154390540543219,0.95,HIGH
2023-06-16,47.64624923627229,0.23393427195585637,0.9682342057440756,-1.6638047713025317,2.131673315214244,0.95,LOW
2023-08-02,46.97093474047633,0.16786578522045492,0.9686056518375832,-1.7306012923812082,2.066332862822118,0.95,LOW
2023-08-03,38.60981621975332,0.1288664379678055,0.9592262215202005,-1.7512169562117874,2.0089498321473984,0.95,LOW
2023-08-04,37.12947041484646,-0.03179602894867828,1.1074552788123704,-2.202408375420924,2.1388163175235677,0.95,HIGH
2023-08-07,37.39828589490017,-0.07777053981853532,0.9636715479582257,-1.9665667738166577,1.811025694179587,0.95,LOW
2023-08-08,37.76428570533104,-0.10071459860250609,0.945056321559913,-1.9530249888599358,1.7515957916549234,0.95,LOW
2023-08-09,37.82379810365434,-0.11906141699488104,0.9504582072436552,-1.9819595031924453,1.743836669202683,0.95,LOW
2023-08-10,36.87330350290531,-0.1510753877736466,0.9486102048092145,-2.010351389199707,1.708200613652414,0.95,LOW
2023-08-11,38.36503116899104,-0.19595991807179347,0.9682513469570401,-2.0937325581075923,1.7018127219640051,0.95,LOW
2023-08-14,38.37658355884277,-0.1467492087840192,0.9792725114278865,-2.066123331182677,1.7726249136146384,0.95,MEDIUM
2023-08-15,38.74901278577505,-0.18606218622431253,0.9537956758722256,-2.0555017109338745,1.6833773384852495,0.95,LOW
2023-08-16,40.338259524962886,-0.19200982403915884,0.963417437934586,-2.0803080023909475,1.6962883543126297,0.95,LOW
2023-08-17,41.71079777906182,-0.1374856872592834,0.988484881741675,-2.0749160554729666,1.7999446809543997,0.95,MEDIUM
2023-08-18,40.44458877483619,-0.10258313902337668,0.9844874433297082,-2.032178527949605,1.8270122499028514,0.95,MEDIUM
