Date,r_new
2023-04-14,1.6939871532404904
2023-04-17,0.9922173022051266
2023-04-18,0.8301415121803836
2023-04-19,-1.108154504011043
2023-04-20,-2.9113143876501018
2023-04-21,-0.5369846847266192
2023-04-24,-2.4364638057250767
2023-04-25,-3.7690938226335255
2023-04-26,5.1902067196660715
2023-04-27,0.2736786723125056
2023-04-28,-0.535345854343119
2023-05-04,-0.9326079135557778
2023-05-05,-1.577308262640826
2023-05-08,0.7767012273663157
2023-05-09,-1.8694204478847822
2023-05-10,1.9334488034022597
2023-05-11,1.4592222380948716
2023-05-12,-1.61809224090892
2023-05-15,3.5075985954881728
2023-05-16,0.008882735211496328
2023-05-17,-0.25205420472466467
2023-05-18,-1.7814963210848282
2023-05-19,-0.5981568076747713
2023-05-22,0.5591920886011487
2023-05-23,-0.9308379055403551
2023-05-24,0.5252153250147112
2023-05-25,0.20332344896760363
2023-05-26,-2.292196554003579
2023-05-30,0.10265256000952806
2023-05-31,-1.8532420558419336
2023-06-01,-0.22809141869510668
2023-06-02,1.9858707815105119
2023-06-05,-2.1444453819672535
2023-06-06,-1.0874900893255501
2023-06-07,-2.3610657970331244
2023-06-08,0.3083732630497044
2023-06-09,1.0318894961477472
2023-06-12,0.18875264990887095
2023-06-13,-0.2573993838076201
2023-06-14,-1.0854314841571844
2023-06-15,5.273568873882552
2023-06-16,0.9389754514511484
2023-08-02,-0.5004382871737172
2023-08-03,1.4782688973995068
2023-08-04,0.9398540319607358
2023-08-07,-0.5444720199343958
2023-08-08,-0.5032517242916434
2023-08-09,-0.2925961358790728
2023-08-10,0.6957721943113022
2023-08-11,-2.264431502392546
2023-08-14,-1.4271820092681413
2023-08-15,-1.829824802416971
2023-08-16,-0.910935473196672
2023-08-17,0.3429860958068973
2023-08-18,-0.9556266868638671
2023-08-21,-2.3375229208036243
2023-08-22,-1.149692515614439
2023-08-23,-2.7222339509097955
2023-08-24,1.4112483774697724
2023-08-25,-0.6384215439779091
2023-08-28,0.7610576997516889
2023-08-29,2.2480025685353326
2023-08-30,-0.38373481600248494
2023-08-31,-1.2699314820738559
2023-09-01,0.01963205717542859
2023-10-11,-0.209760384275886
2023-10-12,2.423388303895252
2023-10-13,-2.052576278692754
2023-10-16,-2.420444917622663
2023-10-17,0.4943359589489854
2023-10-18,-1.4620578108151006
2023-10-19,-1.3576955624443154
2023-10-20,0.9281920076661618
2023-10-23,-3.1848505365952304
2023-10-24,0.6624391644790866
2023-10-25,-0.648331201117191
2023-10-26,-0.8895488976331902
2023-10-27,3.714008632026639
2023-10-30,1.1055923760034483
2023-10-31,-1.370985130214722
2023-11-01,-1.0859082730472778
2023-11-02,-2.00588709596322
2023-11-03,1.287703665943037
2023-11-06,3.3150358206073074
2023-11-07,-0.6685238059054124
2023-11-08,0.1453851704891042
2023-11-09,1.2718696084479182
2023-11-14,-0.6797556391943281
2023-11-15,1.4598607242681856
2023-11-16,-2.4519220702147613
2023-11-17,-0.046487802750548986
2023-11-20,-0.033303909397586866
2023-11-21,-0.5787541535827627
2023-11-22,-2.150255819237365
2023-12-22,1.4993208252116994
2023-12-26,-0.39296496554076027
2023-12-27,-0.9839905245602909
2023-12-28,6.460642727425227
2023-12-29,-0.27415868366043844
2024-01-02,-2.0747052239369532
2024-01-03,0.2673676512264938
2024-01-04,-2.110757799805934
2024-01-05,-1.2146166761528288
2024-01-08,-0.7971265541786405
2024-01-09,1.3807709242329536
2024-01-10,1.0401780001134409
2024-01-11,2.5008800355030223
2024-01-12,-0.07424416252886709
2024-03-19,-1.523290034725634
2024-03-20,0.2493645552967063
2024-03-21,-1.111544745988319
2024-03-22,-2.477894050553393
2024-03-25,-1.3624956280577825
2024-03-26,2.220980823934676
2024-03-27,-2.8283429295014666
2024-03-28,0.620831713697606
2024-04-01,3.200912487615818
2024-04-02,0.7105342278422697
2024-04-03,-0.5696915963053969
2024-04-08,-1.7287043442175114
2024-04-09,1.7585277139683602
2024-04-10,-1.6944568009777876
2024-04-11,-0.463316121287647
2024-04-12,-2.599745271707119
2024-04-15,1.8983608816820003
2024-04-16,-2.6775538845046456
2024-04-17,1.7832539851293892
2024-04-18,-0.2934623044553915
2024-04-19,-2.4094731465430117
2024-04-22,-0.27112156125285936
2024-04-23,-1.3685535406269353
2024-04-24,-1.3553361984288126
2024-04-25,0.3072202552212257
2024-04-26,1.7671496395938389
2024-04-29,3.8579334012451456
2024-04-30,-2.452567762759276
2024-05-06,1.881149395332408
2024-05-07,0.3094543210529982
2024-05-08,-1.7410463870119475
2024-05-09,2.961620722395255
2024-05-10,-1.4052532996326192
2024-05-13,-0.9563056986092768
2024-05-14,-0.7077117479848207
2024-05-15,-0.8849811365958564
2024-05-16,-0.19660322847110182
2024-05-17,0.6059442244681978
2024-05-20,0.20885484269861335
2024-05-21,-1.2602826342654823
2024-05-22,3.670877781686693
2024-05-23,-1.9219669760456055
2024-05-24,-1.1101068388461814
2024-05-28,-0.5416823496783226
2024-05-29,1.9481489378557395
2024-05-30,-0.23106422695844028
2024-05-31,-1.3509387043318184
2024-06-03,0.353496255945255
2024-06-04,1.5113177978067982
2024-06-05,-0.9330474745541661
2024-06-06,-1.6761105463233426
2024-06-07,-2.313278171602565
2024-06-11,-0.5031188071350958
2024-06-12,-0.47287015883933775
2024-06-13,-0.32292018585775734
2024-06-14,-0.5219873099095421
2024-06-17,0.5864679828360845
2024-06-18,0.16626630468593764
2024-08-02,-1.4244337335671997
2024-08-05,-0.9033004925445544
2024-08-06,2.015198714563378
2024-08-07,-0.004074429644083219
2024-08-08,-0.6433551910644203
2024-08-09,-1.2888118448412693
2024-08-12,-0.4551839179277801
2024-08-13,0.91463715859714
2024-08-14,-1.154870456994536
2024-08-15,1.0180000225560584
2024-08-16,-1.1255738509666378
2024-08-19,-0.2576007357428351
2024-08-20,-0.7360262771225807
2024-08-21,-0.6905005245876011
2024-08-22,-0.5783790257846967
2024-08-23,-0.23116455534110913
2024-08-26,1.3678569043899154
2024-08-27,-0.6992796348892427
2024-08-28,0.02192042229243474
2024-08-29,1.5807928155431443
2024-08-30,1.1780445305567055
2024-10-08,11.566203396570332
2024-10-09,-12.289104916827597
2024-10-10,0.15061840578735014
2024-10-11,-5.0810232577959775
2024-10-16,-2.5050301485141877
2024-10-17,-1.3142616092327082
2024-10-18,5.527891523826629
2024-10-21,2.1135098036332867
2024-10-22,1.6606534351450486
2024-10-23,2.8894211723443077
2024-10-24,-3.0227157152833586
2024-10-25,5.960281831969621
2024-10-28,-0.6205034234064277
2024-10-29,-2.3202562234920365
2024-10-30,-0.7016473147724791
2024-10-31,1.8544496856198343
2024-11-01,-1.8814580913205727
2024-11-04,1.037347851469921
2024-11-05,3.2153753255397883
2024-11-06,-0.16240511981737096
2024-11-07,0.2220897908480049
2024-11-08,-0.42374876125038363
2024-11-13,1.3773771942910262
2024-11-14,-2.9391574439195467
2024-11-15,-3.4899958864570415
2024-11-18,-1.2229553714193617
2024-11-19,3.002365386597912
2024-11-20,-0.35283264652934554
2024-11-21,0.27625721450853263
2024-11-22,-3.7925241973132344
2024-11-25,0.7977038773259257
2024-11-26,-1.8879275596489122
2024-11-27,2.094875864400812
2024-12-30,0.20919336159793822
2024-12-31,-1.4222678473178025
2025-01-02,-3.063051972420487
2025-01-03,-1.6124033398476967
2025-01-06,0.6976442925104003
2025-01-07,-0.08074402714915332
2025-01-08,-0.17615295557396057
2025-03-18,0.371766649571592
2025-03-19,0.45458452935157245
2025-03-20,-0.7136525247440013
