test_index,strategy_nav,buy_hold_nav,strategy_return,buy_hold_return,signal
0,1.0030192159511897,1.0030192159511897,0.0030192159511895915,0.0030192159511895915,1.0
1,1.0044554481197925,1.0044554481197925,0.0014319089263316914,0.0014319089263316914,1.0
2,1.0041448595612048,1.0047660366783802,-0.00030921088552920343,0.00030921088552920343,-1.0
3,1.0047946002785377,1.0041158940229584,0.000647058749687654,-0.000647058749687654,-1.0
4,1.0065819999432235,1.0023297016889385,0.0017788706907761387,-0.0017788706907761387,-1.0
5,1.0079621970918817,1.000955335172982,0.001371172094013308,-0.001371172094013308,-1.0
6,1.0086002529763256,1.0003217147420618,0.0006330156887677783,-0.0006330156887677783,-1.0
7,1.0117296673149014,0.9972179864730425,0.003102730075013487,-0.003102730075013487,-1.0
8,1.015261459428093,0.9937368523978646,0.003490845655010667,-0.003490845655010667,-1.0
9,1.0179516001417808,0.9911037454868299,0.0026497023881937483,-0.0026497023881937483,-1.0
10,1.0210124405498076,0.9881236328839221,0.003006862416248849,-0.003006862416248849,-1.0
11,1.0237471681598913,0.9854769961988992,0.0026784469037528383,-0.0026784469037528383,-1.0
12,1.0277662646262462,0.9816081433841791,0.003925868213710435,-0.003925868213710435,-1.0
13,1.0338226241183879,0.9758237817045219,0.005892740110850236,-0.005892740110850236,-1.0
14,1.0410302287158306,0.9690205334381132,0.0069718000257435,-0.0069718000257435,-1.0
15,1.0486788392605522,0.9619009892926476,0.007347155090930105,-0.007347155090930105,-1.0
16,1.0567809451683507,0.9544693301456388,0.007726012583138921,-0.007726012583138921,-1.0
17,1.0655789119971761,0.9465231332122576,0.008325251197090648,-0.008325251197090648,-1.0
18,1.0747112836619315,0.9384111098374875,0.008570338209526775,-0.008570338209526775,-1.0
19,1.0841122885480525,0.9302023866549108,0.008747470161556636,-0.008747470161556636,-1.0
20,1.0931279714948465,0.9224666475778602,0.008316189237988242,-0.008316189237988242,-1.0
21,1.1007251372079452,0.9160555665615433,0.006949932589054172,-0.006949932589054172,-1.0
22,1.1075470595396946,0.9103781638063911,0.006197661978587688,-0.006197661978587688,-1.0
23,1.1138353524635292,0.9052093319123709,0.005677675607254033,-0.005677675607254033,-1.0
24,1.1195000168759994,0.9006056828389429,0.005085728694049377,-0.005085728694049377,-1.0
25,1.1246892197309728,0.8964311178455144,0.004635286089100759,-0.004635286089100759,-1.0
26,1.1296572860591767,0.892471331289378,0.004417279227938335,-0.004417279227938335,-1.0
27,1.1339976204841755,0.8890423054331971,0.0038421691946416135,-0.0038421691946416135,-1.0
28,1.136959946498736,0.8867198727385804,0.0026122859175806406,-0.0026122859175806406,-1.0
29,1.1395266653774025,0.8847180778253511,0.0022575279688352608,-0.0022575279688352608,-1.0
30,1.1421155371655063,0.8827081014538469,0.0022718834642157194,-0.0022718834642157194,-1.0
31,1.1446579706304418,0.880743128083048,0.00222607379218855,-0.00222607379218855,-1.0
32,1.1469660957567689,0.8789671693286187,0.0020164321444036313,-0.0020164321444036313,-1.0
33,1.1490564817951938,0.8773652207568207,0.0018225351613778014,-0.0018225351613778014,-1.0
34,1.1507585369312452,0.8760656119004755,0.0014812632477318331,-0.0014812632477318331,-1.0
35,1.1500355204144126,0.8755151837377418,-0.000628295592540881,-0.000628295592540881,1.0
36,1.1511410517855754,0.87467354929744,0.0009613019350604368,-0.0009613019350604368,-1.0
37,1.1526852794845943,0.8735001960230264,0.0013414756572392497,-0.0013414756572392497,-1.0
38,1.1538406511046286,0.8726246601291087,0.001002330506511653,-0.001002330506511653,-1.0
39,1.1553504039369502,0.8714828668052885,0.0013084586947740126,-0.0013084586947740126,-1.0
40,1.1565322888452474,0.8705913689145991,0.0010229666292321704,-0.0010229666292321704,-1.0
41,1.1551150823535665,0.8695245524049978,-0.00122539293139481,-0.00122539293139481,1.0
42,1.1523270647913235,0.8674258440079374,-0.002413627529269409,-0.002413627529269409,1.0
43,1.1492109247142217,0.865080138071649,-0.0027042149510442997,-0.0027042149510442997,1.0
44,1.1525879264767884,0.8625380658652297,0.002938539557833129,-0.002938539557833129,-1.0
45,1.1561876873581638,0.85984418827301,0.003123198498511977,-0.003123198498511977,-1.0
46,1.1600041838519148,0.8570059014052313,0.003300931618180065,-0.003300931618180065,-1.0
47,1.1636954340549857,0.8542788222691107,0.0031821007669247106,-0.0031821007669247106,-1.0
48,1.1678356842931032,0.8512394289761475,0.0035578469391176226,-0.0035578469391176226,-1.0
49,1.1615218416878181,0.8466372474824201,-0.005406447747918354,-0.005406447747918354,1.0
50,1.1671701021200158,0.842520211113624,0.004862810348869815,-0.004862810348869815,-1.0
51,1.1714694271651676,0.8394167489549309,0.0036835462434675215,-0.0036835462434675215,-1.0
52,1.1763917666212742,0.8358896452271825,0.00420185054937214,-0.00420185054937214,-1.0
53,1.1806558245814378,0.8328598026214438,0.003624692114609497,-0.003624692114609497,-1.0
54,1.1860556298077558,0.8290506648343331,0.004573564212273605,-0.004573564212273605,-1.0
55,1.1910334432354575,0.8255711825672777,0.004196947683228456,-0.004196947683228456,-1.0
56,1.191901456374077,0.8249695146314155,0.0007287898954891564,-0.0007287898954891564,-1.0
57,1.192764706724922,0.8243720195791748,0.0007242631899042943,-0.0007242631899042943,-1.0
58,1.1914226896935924,0.8234444927298396,-0.0011251314058533367,-0.0011251314058533367,1.0
59,1.1913964650864868,0.8234263677533035,-2.20111697825857e-05,-2.20111697825857e-05,1.0
60,1.1919003894465785,0.8237746519874879,0.0004229694940845802,0.0004229694940845802,1.0
61,1.1935378133726888,0.8249063475023403,0.001373792592576135,0.001373792592576135,1.0
62,1.195957101950483,0.8265784239811097,0.002026989468358772,0.002026989468358772,1.0
63,1.2001531193477406,0.8294784756983209,0.00350850159292009,0.00350850159292009,1.0
64,1.205393630678934,0.833100422998879,0.004366535608424097,0.004366535608424097,1.0
65,1.2100353060458184,0.836308488491474,0.003850754847833451,0.003850754847833451,1.0
66,1.2146368359143487,0.8394888076688329,0.003802806286344904,0.003802806286344904,1.0
67,1.2182793132434715,0.8420062835592165,0.0029988200764395835,0.0029988200764395835,1.0
68,1.2226066233385506,0.8449970774201623,0.003551985204081315,0.003551985204081315,1.0
69,1.2265068784119526,0.8476927148192288,0.0031901144644150203,0.0031901144644150203,1.0
70,1.2246837747309363,0.8464326878793402,-0.0014864194511301247,-0.0014864194511301247,1.0
71,1.221412549472394,0.8441718005830624,-0.0026710774863176467,-0.0026710774863176467,1.0
72,1.22347373605688,0.8427472241030558,0.0016875433164464562,-0.0016875433164464562,-1.0
73,1.2264834061871002,0.8406741177723197,0.0024599384862317177,-0.0024599384862317177,-1.0
74,1.2287123263855266,0.8391463388297393,0.0018173260128774398,-0.0018173260128774398,-1.0
75,1.2326640879753454,0.8364474920787027,0.0032161812858534913,-0.0032161812858534913,-1.0
76,1.2363320621198457,0.8339585189642057,0.0029756477699653013,-0.0029756477699653013,-1.0
77,1.2337192539815727,0.8357209690956015,-0.0021133546709070565,0.0021133546709070565,-1.0
78,1.2306935955894596,0.8377705489780979,-0.0024524691353794746,0.0024524691353794746,-1.0
79,1.232220435118734,0.8388099150682651,0.001240633358901306,0.001240633358901306,1.0
80,1.2352934041557246,0.8409017785234245,0.002493846838933919,0.002493846838933919,1.0
81,1.2379981666569115,0.8427429925945754,0.0021895709084881884,0.0021895709084881884,1.0
82,1.242653097820608,0.8459117457679415,0.0037600468959229833,0.0037600468959229833,1.0
83,1.2464834834099299,0.8485192056990439,0.0030824254943231533,0.0030824254943231533,1.0
84,1.2448138854228754,0.8473826595861852,-0.0013394465384227129,-0.0013394465384227129,1.0
85,1.2442727760293573,0.8470143099699285,-0.00043469100068264677,-0.00043469100068264677,1.0
86,1.243240007648011,0.8477173468077804,-0.0008300176627201975,0.0008300176627201975,-1.0
87,1.24404174742441,0.8471706714177526,0.0006448793245607031,-0.0006448793245607031,-1.0
88,1.244948388590703,0.8465532646408712,0.0007287867695516086,-0.0007287867695516086,-1.0
89,1.2475296630219697,0.8447980221611435,0.0020733987488339594,-0.0020733987488339594,-1.0
90,1.2491085328296043,0.843728848312797,0.0012655970069761632,-0.0012655970069761632,-1.0
91,1.2478427559682264,0.8445838360303591,-0.0010133441795570101,0.0010133441795570101,-1.0
92,1.247910992705689,0.8445376510080808,5.46837629470581e-05,-5.46837629470581e-05,-1.0
93,1.247858319074478,0.8445020035420091,-4.2209445640613145e-05,-4.2209445640613145e-05,1.0
94,1.2493225006056936,0.845492904686602,0.0011733555875969308,0.0011733555875969308,1.0
95,1.2523449335661216,0.8475383698260627,0.0024192576047918335,0.0024192576047918335,1.0
96,1.255824907957286,0.8498934812202736,0.0027787666942965224,0.0027787666942965224,1.0
97,1.259810729055631,0.8525909300026073,0.003173866892661216,0.003173866892661216,1.0
98,1.2697586855552554,0.8593233202641175,0.007896389727591473,0.007896389727591473,1.0
99,1.2809128174247388,0.8668720031294423,0.008784450145033528,0.008784450145033528,1.0
100,1.2893509327685575,0.8725825915873201,0.006587579754868462,0.006587579754868462,1.0
101,1.2982459102144879,0.8786023665567418,0.006898802505870721,0.006898802505870721,1.0
102,1.30416172335572,0.8826059589309595,0.004556773947591202,0.004556773947591202,1.0
103,1.3122685328572867,0.8880923324733376,0.006216107524385327,0.006216107524385327,1.0
104,1.3183368154548907,0.8921991102488278,0.004624268924890663,0.004624268924890663,1.0
105,1.308458917034688,0.8855141325721693,-0.00749269708954785,-0.00749269708954785,1.0
106,1.29712745979779,0.8778454427911784,-0.008660155156096172,-0.008660155156096172,1.0
107,1.3044001703302766,0.8729235550079393,0.005606781721836623,-0.005606781721836623,-1.0
108,1.314642086965646,0.8660695155169922,0.007851820988934959,-0.007851820988934959,-1.0
109,1.322542314640728,0.8608649458300254,0.006009413325049329,-0.006009413325049329,-1.0
110,1.3347456958431372,0.8529215605927759,0.009227214182348535,-0.009227214182348535,-1.0
