sample_index,raw_returns,training_returns,scaled_returns
0,0.00097483167907364,0.003178361276965277,0.4251601910308992
1,0.0009738821011673338,0.0028180413777535974,0.37413365538401433
2,0.0009729347839766422,0.0013823065223312904,0.17081272878527948
3,0.0009719891019697169,0.0011528949349547141,0.13832471308953168
4,0.0009710452565625527,-0.0006409041440237755,-0.11570331269283732
5,0.0009701030366313645,0.0003593619599438165,0.02594890835335057
6,0.0009691630543888774,-0.00020052413146427522,-0.053339101173557016
7,-0.00909544341753954,-0.008027062678812202,-1.1616907327423485
8,-0.009178930061932267,-0.008502681719175462,-1.229045302863316
9,-0.00926396312428035,-0.005749413900836951,-0.839142555928608
10,-0.009350586613861567,-0.00689629795324825,-1.0015580098384373
11,-0.00943884535488726,-0.004724072171777933,-0.6939392618487216
12,-0.009528786308407255,-0.007045649977959227,-1.0227084276463974
13,-0.00962045737576378,-0.006628944338650399,-0.9636968515303687
14,0.008303826058345898,0.0028693976691164364,0.38140645280000773
15,0.008235440393802085,0.0052577938711775825,0.7196380747836739
16,0.008168171900985177,0.004840316278291033,0.6605171788192618
17,0.008101993211926617,0.006297167483615612,0.8668284875294974
18,0.008036878689355209,0.0066418156825399505,0.9156356825984434
19,0.007972802244898824,0.0077922618917868605,1.0785555896987564
20,0.007909739456404274,0.00857388672386253,1.1892450282883493
21,0.010216773217247122,0.00981836172661658,1.3654807794323105
22,0.010113446633841283,0.008794236962013735,1.2204498252102551
23,0.010012188692610113,0.007166342806717482,0.9899163483572866
24,0.00991293848203001,0.007573038683765673,1.047510396626736
25,0.00981563667946439,0.006189072886315134,0.8515207211961476
26,0.00972022666523431,0.00742622687268388,1.0267197099953882
27,0.009626653216718184,0.008011875748015778,1.1096561042357882
28,0.0030124644999032224,0.003995685298956822,0.5409051538665655
29,0.0030034166204946366,0.002757227534505159,0.36552153113794955
30,0.002994423312628669,0.002692467368976788,0.3563505502899274
31,0.002985483319474902,0.002047956129577255,0.2650783896238362
32,0.002976596930717834,0.0016747008676354222,0.2122200185748555
33,0.0029677629056044097,0.0010124173125203046,0.11843103964984206
34,0.0029589815405401954,-0.001265176383083193,-0.20410933669933343
35,-0.006604233232284984,-0.005806232233038677,-0.8471888577282892
36,-0.006648139093418548,-0.005358013050936978,-0.7837145058449543
37,-0.006692632646151275,-0.004095775768074883,-0.6049633576299848
38,-0.006737725576302367,-0.005717579323573037,-0.8346343170133702
39,-0.006783430663876877,-0.005256593219872265,-0.7693519834407049
40,-0.006829759866381346,-0.007106171559392642,-1.0312791633708869
41,-0.00687672625537239,-0.006782645940645371,-0.9854632327109213
42,-0.00164595033770365,-0.0019402262029844933,-0.29970620429942396
43,-0.0016486641556766601,-0.0021681653756719624,-0.3319857046709138
44,-0.0016513865384931714,-0.003037530117632378,-0.4551003899626277
45,-0.001654118126900861,-0.0016920573594148398,-0.26456188845520306
