feature,spearman_corr_with_return,spearman_pvalue,abs_spearman_corr,rf_importance
WTI_Futures_Lag2,-0.164437711392891,0.0014169360948396302,0.164437711392891,0.06212405681965102
RSI_14,-0.15837399655196346,0.002126545938568202,0.15837399655196346,3.829053397132827e-05
WTI_Futures_Lag1,-0.15688953403093606,0.0023438224248000087,0.15688953403093606,0.0511832179526744
WTI_Futures_MA_5,-0.14197717984882133,0.005951108649610646,0.14197717984882133,0.06715835430622369
WTI_Futures,-0.13678800951883704,0.008073955172963283,0.13678800951883704,0.27345244778611216
WTI_Futures_Lag3,-0.12714191870032296,0.01387163417300727,0.12714191870032296,0.03460467851874143
Inventory_Price_Ratio,0.12280816749914242,0.017499214302609253,0.12280816749914242,0.1877672664498477
MACD_Histogram,-0.11948731917821968,0.020814855145693468,0.11948731917821968,3.959800556751966e-05
WTI_Futures_vs_MA_10,-0.11933729982365843,0.020976724637214877,0.11933729982365843,4.384644241802383e-05
WTI_Futures_MA_10,-0.11841036574277804,0.022001310626707214,0.11841036574277804,0.05318983489847618
MACD,-0.10997324769537355,0.03349369806337154,0.10997324769537355,0.00012122692521751852
WTI_Futures_Lag5,-0.10621350111309662,0.04007197848949629,0.10621350111309662,0.0719703570611444
WTI_Futures_Momentum_5d,-0.10015890811601268,0.052945346351029585,0.10015890811601268,6.947788329562912e-05
WTI_Spot,-0.09166125837394921,0.07665398309098047,0.09166125837394921,0.0005190876286880763
BB_Upper_20,-0.090894410115984,0.0791625846883436,0.090894410115984,0.0025369243533258875
WTI_Futures_MA_20,-0.0890561046612153,0.08544755799172715,0.0890561046612153,0.011760731684433501
WTI_Futures_Lag20,-0.08824733362151757,0.08833705248332928,0.08824733362151757,0.00010632288522291018
WTI_Futures_Acceleration,0.08569969008565446,0.09795472345712213,0.08569969008565446,6.642335526921435e-05
BB_Lower_20,-0.06919413341744204,0.18178721163114564,0.06919413341744204,0.07014144593849464
WTI_Futures_Z_5,-0.06100683861163281,0.2392101363787864,0.06100683861163281,6.110783217861158e-05
WTI_Futures_Momentum_3d,-0.05908870123725825,0.2543312281391262,0.05908870123725825,6.272788742752118e-05
VIX_MA_5,-0.05359351838136823,0.30126568675387805,0.05359351838136823,0.0001655357161330052
WTI_Futures_Std_5,0.04786454674484954,0.3559619140772383,0.04786454674484954,0.00012985264300394467
MACD_Signal,-0.042370030537196596,0.41391614066237625,0.042370030537196596,9.601835834870377e-05
DXY_Momentum_5,-0.04085010967584694,0.4308792791532866,0.04085010967584694,8.405540629582433e-05
US10Y_Return,0.03856463641287234,0.4571277495620568,0.03856463641287234,5.0404662116182134e-05
US10Y_Change,0.03706650688345369,0.4748078886428829,0.03706650688345369,2.4750355654805687e-05
Stocks_Z_20,-0.033113102321113676,0.5232078511215039,0.033113102321113676,0.0001615674842068783
Basis_Change,-0.0319326949440011,0.5381329570299169,0.0319326949440011,5.8340885311838955e-05
VIX_MA_10,-0.02955737343820894,0.5687974164716026,0.02955737343820894,0.0006293442281129173
WTI_Futures_Std_20,-0.026086048945534828,0.6150507057735388,0.026086048945534828,0.000498118255344933
OVX_VIX_Ratio,0.02598729916344138,0.6163902933071306,0.02598729916344138,6.918911704509348e-05
US10Y,-0.02523381023972512,0.6266533890370158,0.02523381023972512,0.07630863839799061
GeoEvent_DaysSinceLast,-0.02273888816061252,0.6611443024006378,0.02273888816061252,0.0005835527110239944
Stocks,-0.022677050242522,0.6620087407795799,0.022677050242522,2.5194549183117303e-05
VIX,-0.02047036137058718,0.693142440141479,0.02047036137058718,0.00010039563126497485
Stocks_MA_20,-0.017027770211179766,0.7427431347426675,0.017027770211179766,0.001234752654917237
VIX_Level,-0.015921488688014324,0.758922758540777,0.015921488688014324,7.676259508575923e-05
OVX_Level,0.013836098631958758,0.7897043951108462,0.013836098631958758,0.00012472484595890348
Production_Trend_5,-0.012754715745719136,0.8057992943317014,0.012754715745719136,6.635879431726194e-05
Stocks_MA_60,-0.012752218606184857,0.8058365586611558,0.012752218606184857,0.00036047463352228824
OVX_VIX_Spread,0.012199867758024693,0.8140898284534941,0.012199867758024693,9.093640953605807e-05
Stocks_Std_20,-0.011461455749738355,0.8251552710181467,0.011461455749738355,7.792160586244058e-05
Basis,0.010072400973313717,0.8460632500922893,0.010072400973313717,0.03129931065365401
Stocks_Std_60,-0.0066275752318963165,0.8983519102513238,0.0066275752318963165,0.00011445052686072401
DXY_Momentum_10,-0.005209961147510429,0.9200114758469522,0.005209961147510429,9.746405004816373e-05
OVX,-0.003650362756740178,0.9439082563522876,0.003650362756740178,0.00010160922621935642
ATR_14,0.0033320824069904597,0.9487919624832613,0.0033320824069904597,5.8200340834453846e-05
DXY,-0.003205361086026848,0.9507369230606948,0.003205361086026848,0.0002153620500680707
SP500_Return,1.4795486803056587e-05,0.9997724646280699,1.4795486803056587e-05,7.928806369704538e-05
