feature,spearman_corr_with_return,spearman_pvalue,abs_spearman_corr,rf_importance
WTI_Futures_Lag2,-0.16744348162740882,0.0008349406828030633,0.16744348162740882,0.07515410450718604
WTI_Futures_Lag1,-0.15108091228465245,0.002608557870033935,0.15108091228465245,0.10495183346005219
WTI_Futures_MA_5,-0.14503623455932252,0.003868481909373772,0.14503623455932252,0.09231742799068987
WTI_Futures,-0.14341497236134942,0.0042893267917428505,0.14341497236134942,0.3482982409588862
WTI_Futures_MA_10,-0.12433544528944045,0.013402558693905843,0.12433544528944045,0.08228991382132207
Inventory_Price_Ratio,0.12102935045132596,0.016100005082239008,0.12102935045132596,0.1025028771919685
MACD,-0.10949171496897403,0.029573686526698166,0.10949171496897403,0.0003597968615428093
WTI_Spot,-0.0947917209931757,0.05980644735453419,0.0947917209931757,0.0009856297632856261
BB_Upper_20,-0.09374763452390446,0.06268859128297528,0.09374763452390446,0.0002696760662168217
WTI_Futures_MA_20,-0.0919617982355853,0.06788298379086984,0.0919617982355853,0.016539576308408407
WTI_Futures_Lag20,-0.08082546767323434,0.10873420801966104,0.08082546767323434,0.0003543537632085766
BB_Lower_20,-0.07294725793743198,0.14785996421595288,0.07294725793743198,0.07861513677885908
US10Y,-0.026758467109407717,0.5959569410542245,0.026758467109407717,0.06784211158007093
Basis,0.0101029543165634,0.8413546606417072,0.0101029543165634,0.028106318261229033
Stocks_MA_20,-0.006898945729569507,0.891283008934613,0.006898945729569507,0.001413002687073849
