epoch,loss,lr,mae,val_loss,val_mae
0,0.03969832882285118,0.003,0.18707796931266785,0.004565521143376827,0.09165650606155396
1,0.019978921860456467,0.003,0.14242012798786163,0.0011896868236362934,0.04052696377038956
2,0.013925347477197647,0.003,0.1255064606666565,0.0008803988457657397,0.03524147346615791
3,0.016213469207286835,0.003,0.14208351075649261,0.012729322537779808,0.15232199430465698
4,0.005747840274125338,0.003,0.08557725697755814,0.0013584676198661327,0.04105661064386368
5,0.013302563689649105,0.003,0.11901325732469559,0.0002694927097763866,0.01674279198050499
6,0.007972867228090763,0.003,0.09296438097953796,0.005897404160350561,0.08946613222360611
7,0.003684479044750333,0.003,0.06112919747829437,0.039679888635873795,0.25080519914627075
8,0.004928834270685911,0.003,0.07746339589357376,0.0035789411049336195,0.08138112723827362
9,0.005437364801764488,0.003,0.079384446144104,0.005104714073240757,0.08542221784591675
10,0.004397828131914139,0.003,0.06963746249675751,0.015788661316037178,0.16084294021129608
11,0.003315914887934923,0.003,0.06603043526411057,0.00598044553771615,0.10337860882282257
12,0.003934855572879314,0.003,0.06604889035224915,0.03212924301624298,0.227740079164505
13,0.004083402920514345,0.003,0.06986112147569656,0.0009122412302531302,0.03879556432366371
14,0.010055536404252052,0.003,0.09980326145887375,0.008029150776565075,0.12478329241275787
15,0.0035493487957865,0.003,0.060515210032463074,0.0031553367152810097,0.07819490879774094
16,0.0031668050214648247,0.003,0.05742587894201279,0.003950455226004124,0.08572313189506531
17,0.0030597886070609093,0.003,0.05751659721136093,0.01942889578640461,0.18157730996608734
18,0.002387532964348793,0.003,0.05533650889992714,0.014228854328393936,0.15978334844112396
19,0.002175290370360017,0.003,0.04991639032959938,0.029454445466399193,0.21995247900485992
20,0.0022201582323759794,0.003,0.052392952144145966,0.012595324777066708,0.15527810156345367
21,0.002421694342046976,0.0015,0.053968437016010284,0.010898137465119362,0.13240931928157806
22,0.002905472181737423,0.0015,0.05850154161453247,0.006365166511386633,0.09912065416574478
23,0.003647725796326995,0.0015,0.06672858446836472,0.006270382087677717,0.09794697910547256
24,0.0042333281598985195,0.0015,0.07267489284276962,0.0012277747737243772,0.04169682040810585
25,0.006177290342748165,0.0015,0.08802288770675659,0.003232911229133606,0.0678175762295723
26,0.005231400486081839,0.0015,0.0836014524102211,0.0009757076622918248,0.03644535318017006
27,0.0049304114654660225,0.0015,0.07770433276891708,0.0016509720589965582,0.048647716641426086
28,0.0049379426054656506,0.0015,0.07786855846643448,0.001393600250594318,0.047257520258426666
29,0.007164361886680126,0.0015,0.09241580218076706,0.0012381768319755793,0.0450926348567009
30,0.0031034366693347692,0.0015,0.06071100011467934,0.0023792609572410583,0.06445471197366714
31,0.0023850626312196255,0.0015,0.053926706314086914,0.0013166500721126795,0.04515477269887924
32,0.006952122785151005,0.0015,0.10068180412054062,0.0022819992154836655,0.06513313204050064
33,0.005517430603504181,0.0015,0.07583176344633102,0.0011756381718441844,0.038028888404369354
34,0.005819609854370356,0.0015,0.0868653953075409,0.0018539290176704526,0.04976706951856613
35,0.0018930068472400308,0.0015,0.04483896493911743,0.003250078996643424,0.0752449706196785
36,0.0021603680215775967,0.00075,0.05354291945695877,0.0004308456846047193,0.025043141096830368
37,0.002343205502256751,0.00075,0.051815155893564224,0.005037262104451656,0.0851886048913002
38,0.0014360698405653238,0.00075,0.04063422232866287,0.006578367669135332,0.09832826256752014
39,0.0013367178617045283,0.00075,0.03857675939798355,0.002216532826423645,0.06090587377548218
40,0.0017727885860949755,0.00075,0.044841866940259933,0.0009796879021450877,0.03889726102352142
41,0.0014677589060738683,0.00075,0.04165962338447571,0.0012585677905008197,0.04502386227250099
42,0.0019900549668818712,0.00075,0.04684386029839516,0.004215165972709656,0.0755707174539566
43,0.0012327436124905944,0.00075,0.037704288959503174,0.0034922959748655558,0.07022622972726822
44,0.0012651394354179502,0.00075,0.03634357824921608,0.001686801202595234,0.05163884162902832
45,0.0013884124346077442,0.00075,0.039076417684555054,0.000863720546476543,0.03750587999820709
46,0.001765586668625474,0.00075,0.04428880661725998,0.0018634168663993478,0.05089141055941582
47,0.0014299222966656089,0.00075,0.03996776416897774,0.003658565226942301,0.07063516229391098
48,0.0010706698521971703,0.00075,0.035376425832509995,0.0032584560103714466,0.06829865276813507
49,0.001118169748224318,0.00075,0.03454414755105972,0.001775363925844431,0.05255701392889023
50,0.0011324385413900018,0.00075,0.035881876945495605,0.0009449993958696723,0.03838629648089409
51,0.0012506467755883932,0.000375,0.03728635981678963,0.0015267363050952554,0.04645063728094101
52,0.0010768577922135592,0.000375,0.03408975899219513,0.0019011787371709943,0.05097784847021103
53,0.0009976924629881978,0.000375,0.03332614153623581,0.0023328475654125214,0.056526463478803635
54,0.001011308399029076,0.000375,0.03261060640215874,0.0023783030919730663,0.05777536332607269
55,0.0010591978207230568,0.000375,0.03321370109915733,0.002568612340837717,0.05911931395530701
56,0.0009643110097385943,0.000375,0.031340669840574265,0.002445155056193471,0.05840655043721199
57,0.0010218003299087286,0.000375,0.03326580673456192,0.003056600922718644,0.06388761103153229
58,0.0009324463899247348,0.000375,0.03185991197824478,0.0031321686692535877,0.06467869877815247
59,0.001000656164251268,0.000375,0.03273889794945717,0.0029198238626122475,0.06423644721508026
60,0.0008888593874871731,0.000375,0.03094388358294964,0.002754764398559928,0.061694975942373276
61,0.0009406356839463115,0.000375,0.03167441487312317,0.003125083167105913,0.06452015787363052
62,0.0008218415314331651,0.000375,0.030596472322940826,0.00297164055518806,0.06423057615756989
63,0.0008759057964198291,0.000375,0.031417861580848694,0.00283644488081336,0.06279366463422775
64,0.0008923463174141943,0.000375,0.03166406974196434,0.002911251736804843,0.06295840442180634
65,0.0008225023047998548,0.000375,0.03020004741847515,0.002601535292342305,0.05987533926963806
66,0.0010095624020323157,0.0001875,0.032527703791856766,0.002745762700214982,0.06115349009633064
67,0.0009140722686424851,0.0001875,0.03085469827055931,0.0024802847765386105,0.058389462530612946
68,0.0009120551985688508,0.0001875,0.030895661562681198,0.0024736409541219473,0.05816091597080231
69,0.0008751950808800757,0.0001875,0.03053904138505459,0.0024673673324286938,0.05797606706619263
70,0.0009316045325249434,0.0001875,0.03121759556233883,0.002433727728202939,0.05772027373313904
71,0.0007938373601064086,0.0001875,0.029882334172725677,0.002641265280544758,0.05920270085334778
72,0.0007866920786909759,0.0001875,0.029646335169672966,0.002530516590923071,0.05856454372406006
73,0.0008936129161156714,0.0001875,0.030894944444298744,0.0025513330474495888,0.05915069952607155
74,0.0008211184176616371,0.0001875,0.02945546805858612,0.0026144960429519415,0.05908432602882385
75,0.0008559253765270114,0.0001875,0.03053400106728077,0.0027042857836931944,0.059777114540338516
76,0.0008642793400213122,0.0001875,0.03014654666185379,0.002539008390158415,0.058142803609371185
77,0.0008176990086212754,0.0001875,0.029131298884749413,0.002446951810270548,0.05782996863126755
78,0.0008264839416369796,0.0001875,0.030210796743631363,0.002376267919316888,0.05683485046029091
79,0.0009001840953715146,0.0001875,0.030453838407993317,0.0024965754710137844,0.05790403112769127
80,0.0007963753887452185,0.0001875,0.02844555489718914,0.0022634381894022226,0.05584048107266426
81,0.0008746507810428739,9.375e-05,0.030218638479709625,0.0024662252981215715,0.05785727873444557
82,0.0009059094008989632,9.375e-05,0.031153330579400063,0.0023569713812321424,0.05705494433641434
83,0.0008400107035413384,9.375e-05,0.03014133684337139,0.002426599385216832,0.05786442756652832
84,0.0007994400802999735,9.375e-05,0.02936459146440029,0.0023539955727756023,0.05711759999394417
85,0.0008052143384702504,9.375e-05,0.029403159394860268,0.0023936727084219456,0.05746638774871826
86,0.0008515113731846213,9.375e-05,0.03055690973997116,0.0022688463795930147,0.05618031695485115
87,0.0008663954213261604,9.375e-05,0.030512453988194466,0.002298634499311447,0.05627816915512085
88,0.0008378964266739786,9.375e-05,0.029725495725870132,0.00234226998873055,0.0569443516433239
89,0.0007772448589093983,9.375e-05,0.028871824964880943,0.002384532243013382,0.05707421153783798
90,0.0008464111597277224,9.375e-05,0.030186979100108147,0.0023690941743552685,0.057261571288108826
91,0.000870057730935514,9.375e-05,0.030070723965764046,0.0022426070645451546,0.05590638518333435
92,0.0007337789284065366,9.375e-05,0.028663724660873413,0.002319846535101533,0.05629955232143402
93,0.000839467451442033,9.375e-05,0.02998075634241104,0.0023487606085836887,0.05681336671113968
94,0.0008565508178435266,9.375e-05,0.030908934772014618,0.002373242285102606,0.057045888155698776
95,0.000882205436937511,9.375e-05,0.031014272943139076,0.002282125409692526,0.05628812685608864
96,0.0008356787730008364,4.6875e-05,0.029566628858447075,0.0022627285216003656,0.055896274745464325
97,0.0008514497894793749,4.6875e-05,0.030157113447785378,0.0022768969647586346,0.056011877954006195
98,0.0007990619633346796,4.6875e-05,0.029297584667801857,0.002229897538200021,0.05546813830733299
99,0.000851189368404448,4.6875e-05,0.030066849663853645,0.002298668259754777,0.05630991980433464
100,0.0007755600963719189,4.6875e-05,0.029370231553912163,0.002279127947986126,0.0562254935503006
101,0.0007822815096005797,4.6875e-05,0.02926686219871044,0.00218804064206779,0.05536608397960663
102,0.0008448848966509104,4.6875e-05,0.030077748000621796,0.0022878844756633043,0.05642273277044296
103,0.0008267990779131651,4.6875e-05,0.029444260522723198,0.0022773288656026125,0.05647290125489235
104,0.0007738163112662733,4.6875e-05,0.028464224189519882,0.0022689325269311666,0.05638982728123665
105,0.0008123350562527776,4.6875e-05,0.03045286238193512,0.002336730482056737,0.057078294456005096
106,0.0007318628486245871,4.6875e-05,0.02849229797720909,0.002237720647826791,0.05635895952582359
107,0.0008538169204257429,4.6875e-05,0.030130960047245026,0.002186034806072712,0.055231500416994095
108,0.0007939806091599166,4.6875e-05,0.029204236343503,0.0022574719041585922,0.05583753436803818
109,0.00081982696428895,4.6875e-05,0.029649386182427406,0.002200339687988162,0.055256567895412445
110,0.0008350287680514157,4.6875e-05,0.030251313000917435,0.002195697510614991,0.05526053160429001
111,0.0008536428213119507,2.34375e-05,0.030783090740442276,0.0021770261228084564,0.05501384660601616
112,0.0008200583979487419,2.34375e-05,0.02969054877758026,0.002164614386856556,0.054840732365846634
113,0.0007992315804585814,2.34375e-05,0.028697745874524117,0.0022045967634767294,0.05515477433800697
114,0.0008822505478747189,2.34375e-05,0.03102172166109085,0.00223378068767488,0.055573832243680954
115,0.0007048476254567504,2.34375e-05,0.02786950394511223,0.002178092021495104,0.055072955787181854
116,0.0006472922977991402,2.34375e-05,0.02701376937329769,0.002121769590303302,0.05449685454368591
117,0.0008503161370754242,2.34375e-05,0.02930552512407303,0.002216183813288808,0.05532677099108696
118,0.0008359865169040859,2.34375e-05,0.030807822942733765,0.0022426957730203867,0.055658284574747086
119,0.0007715832907706499,2.34375e-05,0.028896676376461983,0.0022256525699049234,0.05553333833813667
120,0.0008017318905331194,2.34375e-05,0.02980191260576248,0.002216857858002186,0.055373143404722214
121,0.0007149299490265548,2.34375e-05,0.02731943130493164,0.002140047261491418,0.05460340902209282
122,0.0007531266892328858,2.34375e-05,0.028418319299817085,0.002165430225431919,0.054958391934633255
123,0.0008009414304979146,2.34375e-05,0.0291350856423378,0.002099684439599514,0.05433778092265129
124,0.0007578633958473802,2.34375e-05,0.028456397354602814,0.002097933553159237,0.05421150103211403
125,0.0008431491442024708,2.34375e-05,0.030238432809710503,0.0020930063910782337,0.054286759346723557
126,0.0007191020413301885,1.171875e-05,0.028370417654514313,0.0020712625700980425,0.054142896085977554
127,0.0007975900662131608,1.171875e-05,0.0295544620603323,0.0020790142007172108,0.05423267185688019
128,0.0008445001440122724,1.171875e-05,0.030558183789253235,0.002116406336426735,0.054606370627880096
129,0.0008302265196107328,1.171875e-05,0.029458964243531227,0.002126412931829691,0.05473055690526962
130,0.000831203768029809,1.171875e-05,0.029134079813957214,0.0021104230545461178,0.054546765983104706
131,0.0007161071407608688,1.171875e-05,0.028184227645397186,0.0020422220695763826,0.05386229604482651
132,0.0007707874174229801,1.171875e-05,0.028425002470612526,0.0020386988762766123,0.053789831697940826
133,0.0007362633477896452,1.171875e-05,0.027444183826446533,0.002027401002123952,0.0537644699215889
134,0.0007473909645341337,1.171875e-05,0.028451016172766685,0.0020092218182981014,0.05353238806128502
135,0.0007488270639441907,1.171875e-05,0.028561241924762726,0.002036617835983634,0.05377523601055145
136,0.0006820793496444821,1.171875e-05,0.02797629125416279,0.002044844441115856,0.05389721691608429
137,0.0007961509400047362,1.171875e-05,0.02813640609383583,0.0020339053589850664,0.053870368748903275
138,0.0008130102651193738,1.171875e-05,0.02880171686410904,0.002025740221142769,0.05386542156338692
139,0.0007276617106981575,1.171875e-05,0.028273627161979675,0.0020557167008519173,0.05406384915113449
140,0.0007977767963893712,1.171875e-05,0.029077883809804916,0.0020862251985818148,0.05426205322146416
141,0.0007494511664845049,5.859375e-06,0.02839432656764984,0.0020554412622004747,0.05394613742828369
142,0.0008615346159785986,5.859375e-06,0.030499141663312912,0.002047506393864751,0.053872376680374146
143,0.000780852569732815,5.859375e-06,0.02901615761220455,0.002049393253400922,0.05386700853705406
144,0.0008116677054204047,5.859375e-06,0.028655022382736206,0.0020449969451874495,0.05386027693748474
145,0.0007379120215773582,5.859375e-06,0.02800687588751316,0.002016738522797823,0.05361814424395561
146,0.0008059356478042901,5.859375e-06,0.029253564774990082,0.0019951534923166037,0.05341320112347603
147,0.0008586564799770713,5.859375e-06,0.029282260686159134,0.0019997269846498966,0.05343717709183693
148,0.0008989109774120152,5.859375e-06,0.030257806181907654,0.002020738087594509,0.05358032509684563
149,0.0007870866102166474,5.859375e-06,0.028992587700486183,0.0020243083126842976,0.05366455391049385
150,0.0007943739765323699,5.859375e-06,0.02848382480442524,0.002027400303632021,0.053702905774116516
151,0.0008608524804003537,5.859375e-06,0.029864974319934845,0.00202738749794662,0.05365832895040512
152,0.0007614647038280964,5.859375e-06,0.029040873050689697,0.0020256731659173965,0.053687892854213715
153,0.0007396440487354994,5.859375e-06,0.028372349217534065,0.002011330099776387,0.05349979177117348
154,0.0007323541212826967,5.859375e-06,0.028100861236453056,0.0020089170429855585,0.05347691848874092
