CI_width
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
