Date_target,NewEnergy_Sigma,Q50,Q80
2025-12-26,0.05,0.05,0.05
2025-12-29,0.05,0.05,0.05
2025-12-30,0.05,0.05,0.05
2025-12-31,0.05,0.05,0.05
2026-01-05,0.05,0.05,0.05
2026-01-06,0.05,0.05,0.05
2026-01-07,0.05,0.05,0.05
2026-01-08,0.05,0.05,0.05
2026-01-09,0.05,0.05,0.05
2026-01-12,0.05,0.05,0.05
2026-01-13,0.05,0.05,0.05
2026-01-14,0.05,0.05,0.05
2026-01-15,0.05,0.05,0.05
2026-01-16,0.05,0.05,0.05
2026-01-19,0.05,0.05,0.05
2026-01-20,0.05,0.05,0.05
2026-01-21,0.05,0.05,0.05
2026-01-22,0.05,0.05,0.05
2026-01-23,0.05,0.05,0.05
2026-01-26,0.05,0.05,0.05
2026-01-27,0.05,0.05,0.05
2026-01-28,0.05,0.05,0.05
2026-01-29,0.05,0.05,0.05
2026-01-30,0.05,0.05,0.05
2026-02-02,0.05,0.05,0.05
2026-02-03,0.05,0.05,0.05
2026-02-04,0.05,0.05,0.05
2026-02-05,0.05,0.05,0.05
2026-02-06,0.05,0.05,0.05
2026-02-09,0.05,0.05,0.05
2026-02-10,0.05,0.05,0.05
2026-02-11,0.05,0.05,0.05
2026-02-12,0.05,0.05,0.05
2026-02-13,0.05,0.05,0.05
2026-02-24,0.05,0.05,0.05
2026-02-25,0.05,0.05,0.05
2026-02-26,0.05,0.05,0.05
2026-02-27,0.05,0.05,0.05
2026-03-02,0.05,0.05,0.05
2026-03-03,0.05,0.05,0.05
2026-03-04,0.05,0.05,0.05
2026-03-05,0.05,0.05,0.05
2026-03-06,0.05,0.05,0.05
2026-03-09,0.05,0.05,0.05
2026-03-10,0.05,0.05,0.05
2026-03-11,0.05,0.05,0.05
2026-03-12,0.05,0.05,0.05
2026-03-13,0.05,0.05,0.05
2026-03-16,0.05,0.05,0.05
2026-03-17,0.05,0.05,0.05
2026-03-18,0.05,0.05,0.05
2026-03-19,0.05,0.05,0.05
2026-03-20,0.05,0.05,0.05
2026-03-23,0.05,0.05,0.05
2026-03-24,0.05,0.05,0.05
2026-03-25,0.05,0.05,0.05
2026-03-26,0.05,0.05,0.05
2026-03-27,0.05,0.05,0.05
2026-03-30,0.05,0.05,0.05
2026-03-31,0.05,0.05,0.05
