Date,Pred_Price,Pred_Return
2026-01-21,113.63293776752097,
2026-01-22,117.229327929702,0.03115867474885516
2026-01-23,118.92351339765356,0.014348457758593518
2026-01-24,120.47700827012683,0.012978390082854799
2026-01-25,121.70145439488364,0.010112018590456125
2026-01-26,122.88224955998056,0.009655625619308243
2026-01-27,123.42556182358409,0.004411659879943756
2026-01-28,123.01717684491418,-0.0033142413096960894
2026-01-29,122.87199711150062,-0.0011808551628987886
2026-01-30,123.15016333713142,0.0022613112872253392
2026-01-31,123.79518157730185,0.005223987577289396
2026-02-01,124.31744045904738,0.0042098596096256
2026-02-02,124.30572819691555,-9.421698069249034e-05
2026-02-03,124.3339287589073,0.0002268388112978641
2026-02-04,124.15313126003379,-0.0014551866866949908
