y_true,y_pred
0.0030192159511895915,0.00441088179880584
0.0014319089263316914,0.003197296284551553
0.00030921088552920343,-0.0014709292764067395
-0.000647058749687654,-0.0023524690301156104
-0.0017788706907761387,-0.002057281233182855
-0.001371172094013308,-0.0016815924945945274
-0.0006330156887677783,-0.0018631626037781644
-0.003102730075013487,-0.0016234995045069664
-0.003490845655010667,-0.0002209632759634273
-0.0026497023881937483,-0.0027620859975567985
-0.003006862416248849,-0.003955299632778439
-0.0026784469037528383,-0.004641538782778239
-0.003925868213710435,-0.004360744703378173
-0.005892740110850236,-0.0027807094847937036
-0.0069718000257435,-0.0009109904941953333
-0.007347155090930105,-0.0005626614145363455
-0.007726012583138921,-0.003730888032089454
-0.008325251197090648,-0.005873500088416809
-0.008570338209526775,-0.006932576002328011
-0.008747470161556636,-0.006295213536409184
-0.008316189237988242,-0.004215962794701722
-0.006949932589054172,-0.0023624290550203876
-0.006197661978587688,-0.002498139024176996
-0.005677675607254033,-0.0031209429927393415
-0.005085728694049377,-0.004532445279769716
-0.004635286089100759,-0.005146018842391637
-0.004417279227938335,-0.004563236168120538
-0.0038421691946416135,-0.0028990472832297145
-0.0026122859175806406,-0.0011730539689506904
-0.0022575279688352608,-0.001622482204802992
-0.0022718834642157194,-0.001691618178892693
-0.00222607379218855,-0.0025859902402969267
-0.0020164321444036313,-0.0027762720041238646
-0.0018225351613778014,-0.0022911791430890605
-0.0014812632477318331,-0.0006629886519637972
-0.000628295592540881,0.0004678331180067584
-0.0009613019350604368,-0.0002852705225251695
-0.0013414756572392497,-0.0008149370098477964
-0.001002330506511653,-0.0013695439126012194
-0.0013084586947740126,-0.001285601850525801
-0.0010229666292321704,-0.0012533642458293077
-0.00122539293139481,1.6025768225068896e-05
-0.002413627529269409,0.0008876538866341862
-0.0027042149510442997,0.0002546040012250176
-0.002938539557833129,-0.0016648571358110886
-0.003123198498511977,-0.0028119002220145205
-0.003300931618180065,-0.003205077929282839
-0.0031821007669247106,-0.0026853257473034068
-0.0035578469391176226,-0.0012980915508736112
-0.005406447747918354,8.530008476261827e-05
-0.004862810348869815,-7.972513312068467e-05
-0.0036835462434675215,-0.0025102266659636887
-0.00420185054937214,-0.004109625302641326
-0.003624692114609497,-0.004688058883887531
-0.004573564212273605,-0.004111751235949052
-0.004196947683228456,-0.0024418655568946815
-0.0007287898954891564,-0.0006779935069272567
-0.0007242631899042943,-0.0008149961453912009
-0.0011251314058533367,2.198005716913724e-05
-2.20111697825857e-05,0.0006438202058138704
0.0004229694940845802,0.000700205209886236
0.001373792592576135,0.0005908041126121313
0.002026989468358772,0.00046275837820036666
0.00350850159292009,0.0007094647627048157
0.004366535608424097,0.00013114669371974528
0.003850754847833451,0.0011658497901663855
0.003802806286344904,0.0031511154236414348
0.0029988200764395835,0.0038580991539100716
0.003551985204081315,0.0033515724994226254
0.0031901144644150203,0.002079861796724404
-0.0014864194511301247,6.671816076351515e-05
-0.0026710774863176467,0.00014130186854834146
-0.0016875433164464562,-0.0025084233475600156
-0.0024599384862317177,-0.004185620157978839
-0.0018173260128774398,-0.004558903489943993
-0.0032161812858534913,-0.004025988283164359
-0.0029756477699653013,-0.0024411944421334126
0.0021133546709070565,-0.0008108628655327181
0.0024524691353794746,-0.0007357937655526274
0.001240633358901306,0.003505136983305108
0.002493846838933919,0.005453812657133779
0.0021895709084881884,0.005785744460751247
0.0037600468959229833,0.004729868179587091
0.0030824254943231533,0.0026304311729013694
-0.0013394465384227129,0.0005055647250945094
-0.00043469100068264677,9.933318859568198e-05
0.0008300176627201975,-0.0014631144406894803
-0.0006448793245607031,-0.003162972370145054
-0.0007287867695516086,-0.0034226798932690513
-0.0020733987488339594,-0.0028034682511334412
-0.0012655970069761632,-0.001474682068498407
0.0010133441795570101,-0.0002145782419324039
-5.46837629470581e-05,-0.00034843696343263346
-4.2209445640613145e-05,0.0013084161152095229
0.0011733555875969308,0.0024137398121048745
0.0024192576047918335,0.0027026139953804243
0.0027787666942965224,0.0022672097220794545
0.003173866892661216,0.0007490281774282267
0.007896389727591473,0.00021562727593609014
0.008784450145033528,7.416777925797424e-05
0.006587579754868462,0.0035260032018091325
0.006898802505870721,0.006543491740873681
0.004556773947591202,0.007572277629755422
0.006216107524385327,0.0070020316906860515
0.004624268924890663,0.005262623025925181
-0.00749269708954785,0.003417416875525181
-0.008660155156096172,0.0034521239678874343
-0.005606781721836623,-0.006509012727194979
-0.007851820988934959,-0.011915454739774074
-0.006009413325049329,-0.013607959448510457
-0.009227214182348535,-0.012644442363805256
-0.007775347157143686,-0.009772418843644527
0.004292919245960946,-0.005890407382214345
0.0055742650258260055,-0.005214448557108864
0.00410759963530327,0.007112955659732053
0.006669875177398532,0.010157324144305336
0.0068993598089500474,0.010802821640707578
0.009049898696774392,0.009398549883927338
0.00842494858699632,0.0067165694809521925
0.0057871825057294185,0.003946543619485009
0.005612173398418475,0.0029862259570800796
0.004512816967256767,0.0019051575135321118
0.0034146790177400016,0.00322004010917036
0.0013945164267488296,0.004131150475612863
0.00177209869282862,0.0038030669016989277
0.0021696332577961614,0.0019123860445378954
-0.0036598711153692075,0.0005750397552424571
-0.0050062521381872,0.002184794556570479
-0.0030030292053644545,-0.002795202743650344
-0.00333455047971265,-0.004631423869048032
-0.0012835109187770005,-0.005392650255232962
-0.0029905887778925457,-0.0052132624790923975
-0.003283289117558171,-0.0037481261482152166
0.004038874086336129,-0.00173264793412342
0.005711079115652207,-0.0012265888923670932
0.00421357020957331,0.004682196092838669
0.004817569291620447,0.0072318336750361025
0.0035900859851733793,0.007760012987620819
0.004811616538249817,0.006614626117526257
0.004136862668263158,0.004285887358471524
-0.0014981120341845348,0.00187025986161629
-0.002585200662575758,0.001239374421274431
-0.0017445215648021412,-0.0027241590695572244
-0.00232808167420225,-0.005387205997197833
-0.0017593565989962726,-0.005787580142338948
-0.0022780154975028874,-0.004773600025772765
-0.0005337429667738394,-0.002672678106651949
0.004227759651861959,-0.0008412934690069989
0.004745336392411004,-0.0008678062901190462
0.0042834109034113515,0.004870270270009692
0.0052076254799577025,0.007149872653664731
0.00506156286040093,0.0074919037979511525
0.005487152758344945,0.006299112108510743
0.0036705187986424506,0.003963468169917987
-0.00020302385957449485,0.0015317868461558806
-0.0002641062795638381,0.0009029630476323882
7.961503911379435e-05,-0.000520238291217076
-0.0009348027458100545,-0.0019690108070897516
-0.0008420834828492469,-0.002038359542867644
-0.0011672068734493734,-0.001798403501687482
0.00015195396010958979,-0.001073413208898986
0.002831511266358539,-0.00014398208290351713
0.003370244926505141,-0.00023786288845372404
0.003922274620218145,0.003979515157304715
0.004663072879084692,0.005919690885944408
0.005147166455138437,0.00627783257254321
0.004832270779286696,0.005299070302659003
0.004616358744610287,0.0032519019611524456
0.006358654398742934,0.001110358237871683
0.00553385818901914,0.0007060853031896585
0.003742529781013197,0.003189653489071778
0.003968055966761396,0.005529597065697612
0.0029260517108289754,0.006483149916562564
0.004225116767499438,0.006085525889859912
0.0038853142516448893,0.004565081200604519
-0.0009083015436700866,0.0029431289831914832
-0.0007496842822476573,0.003154083775384206
0.0003414340660384392,-0.0004480002264599296
-0.0008277564391170758,-0.002014719846333277
-0.0009326549571197133,-0.002698098393338431
-0.0023745509646578536,-0.0025962823502105725
-0.002946387212732741,-0.0020185823864174194
-0.0029487137581829556,-0.0009835521208670143
-0.0037560515558304306,-0.0005118338888633492
-0.003763329506989319,-0.0027065728744677933
-0.0036915248911422887,-0.0040027002431888125
-0.003050766195873877,-0.004543259718575638
-0.0033655769334220466,-0.004022225915744488
-0.003099650320972299,-0.002396949481094386
0.000782587968418744,-0.000627251317420988
0.0012558222271217296,-0.00043962886424967087
-0.00020542189194393772,0.0005699091418176531
0.00040315032029875184,0.0015849849495110071
-0.0009564937282255722,0.0020184837324996817
0.0003869901418439122,0.00179273421644702
-0.0003637319160151175,0.0007237525728986502
-0.007663386232859727,0.0005349121853305005
-0.008356215970203968,-0.00011861364504090057
-0.006731612056318279,-0.006525625395509362
-0.00820882576771652,-0.009989895381353624
-0.007370711033702602,-0.011284603497032938
-0.00923152102130552,-0.010034568180683545
-0.008661481168742083,-0.006898923037855126
-0.0028599457915214257,-0.0036541991232923398
-0.00190389677272598,-0.00332959528678122
-0.0019700974710737435,-0.000547736529346885
-0.0006401048016773324,0.0012034934568085846
0.00015186765780577315,0.0014507162250839535
0.0009334491227214973,0.0012985415316948603
0.0010826867401736702,0.0006753226673182023
0.002788468588036647,0.0007006619319968172
0.0030612005013446455,6.734571304263207e-05
0.0019084646366777772,0.0010172665814169332
0.0019679574342189067,0.0025020098173044306
0.0006919350099669618,0.0032251150331176785
0.0016816995151609,0.0029122093014151674
0.0020604255886586104,0.0014104411319836466
-0.0024013129746869814,-0.0005972122501691408
-0.003587244587889514,-0.0005610184565742174
-0.002772962267990646,-0.0032447012687250552
-0.0032068871950078487,-0.00477081328959568
-0.0025768287424798547,-0.005010108107012937
-0.0034881976275992843,-0.004247100078442024
-0.003955981694800018,-0.0025739267998892076
-0.0020223794711778415,-0.0008474936518531901
-0.0013261669648577737,-0.0008221622789285881
-0.0014694771267889783,-0.000781051396466607
-0.0013332116258221434,-0.0008937225998510948
-0.0013741983023810534,-0.0010374525903293014
-0.0011532300772926951,-0.0012731835968576555
-0.00159482747746872,-0.0007641335803303868
-0.002745481633551006,0.000259974300372121
-0.0023155850212843118,0.00015696963084889615
-0.0014836485837811074,-0.0014616375252317867
