sample_index,raw_feature_0,scaled_feature_0
0,0.00097483167907364,0.08900876133219399
1,0.00097483167907364,0.08900876133219399
2,0.0009738821011673338,0.088896470165875
3,0.0009729347839766422,0.08878444633769794
4,0.0009719891019697169,0.08867261587616415
5,0.0009710452565625527,0.08856100259947412
6,0.0009701030366313645,0.0884495815414446
7,0.0009691630543888774,0.08833842509853766
8,-0.00909544341753954,-1.1018392230637821
9,-0.009178930061932267,-1.1117118334190343
10,-0.00926396312428035,-1.121767313525858
11,-0.009350586613861567,-1.1320108676472176
12,-0.00943884535488726,-1.1424477964150443
13,-0.009528786308407255,-1.1530836531504738
14,-0.00962045737576378,-1.1639241023677607
15,0.008303826058345898,0.9556899691912621
16,0.008235440393802085,0.9476031066177693
17,0.008168171900985177,0.9396483538115314
18,0.008101993211926617,0.9318224744071189
19,0.008036878689355209,0.9241224367005872
20,0.007972802244898824,0.9165451556436072
21,0.007909739456404274,0.9090877432245184
22,0.010216773217247122,1.1819031805065792
23,0.010113446633841283,1.1696844225875678
24,0.010012188692610113,1.1577102894022908
25,0.00991293848203001,1.1459735779335103
26,0.00981563667946439,1.1344672730558678
27,0.00972022666523431,1.1231846792789317
28,0.009626653216718184,1.1121192663195691
29,0.0030124644999032224,0.32996652210280847
30,0.0030034166204946366,0.3288965762618656
31,0.002994423312628669,0.32783308371151393
32,0.002985483319474902,0.3267758958268197
33,0.002976596930717834,0.3257250468640667
34,0.0029677629056044097,0.32468039009952976
35,0.0029589815405401954,0.32364196058428424
36,-0.006604233232284984,-0.8072442294458962
37,-0.006648139093418548,-0.8124362630033171
38,-0.006692632646151275,-0.8176977933073108
39,-0.006737725576302367,-0.8230302022500413
40,-0.006783430663876877,-0.8284350011152731
41,-0.006829759866381346,-0.8339136039232218
42,-0.00687672625537239,-0.8394675564347228
43,-0.00164595033770365,-0.22090858971118427
44,-0.0016486641556766601,-0.22122950891469875
45,-0.0016513865384931714,-0.22155144094323756
46,-0.001654118126900861,-0.2218744615676285
