"TradingDate","Symbol","FundClassID","NAV","AccumulativeNAV","AnnualizedYield","Frequency","MarketStatus"
"2021-06-29","000042","202000000031","2.0011","2.4899","","",""
"2021-06-30","000042","202000000031","2.0196","2.5084","","",""
"2021-07-01","000042","202000000031","2.0142","2.5030","","",""
"2021-07-02","000042","202000000031","1.9747","2.4635","","",""
"2021-07-05","000042","202000000031","1.9821","2.4709","","",""
"2021-07-06","000042","202000000031","1.9948","2.4836","","",""
"2021-07-07","000042","202000000031","2.0106","2.4994","","",""
"2021-07-08","000042","202000000031","1.9884","2.4772","","",""
"2021-07-09","000042","202000000031","1.9914","2.4802","","",""
"2021-07-12","000042","202000000031","2.0098","2.4986","","",""
"2021-07-13","000042","202000000031","2.0211","2.5099","","",""
"2021-07-14","000042","202000000031","1.9998","2.4886","","",""
"2021-07-15","000042","202000000031","2.0136","2.5024","","",""
"2021-07-16","000042","202000000031","2.0108","2.4996","","",""
"2021-07-19","000042","202000000031","2.0144","2.5032","","",""
"2021-07-20","000042","202000000031","2.0082","2.4970","","",""
"2021-07-21","000042","202000000031","2.0177","2.5065","","",""
"2021-07-22","000042","202000000031","2.0310","2.5198","","",""
"2021-07-23","000042","202000000031","2.0214","2.5102","","",""
"2021-07-26","000042","202000000031","1.9718","2.4606","","",""
"2021-07-27","000042","202000000031","1.9178","2.4066","","",""
"2021-07-28","000042","202000000031","1.9049","2.3937","","",""
"2021-07-29","000042","202000000031","1.9312","2.4200","","",""
"2021-07-30","000042","202000000031","1.9359","2.4247","","",""
"2021-08-02","000042","202000000031","1.9969","2.4857","","",""
"2021-08-03","000042","202000000031","2.0024","2.4912","","",""
"2021-08-04","000042","202000000031","2.0205","2.5093","","",""
"2021-08-05","000042","202000000031","2.0104","2.4992","","",""
"2021-08-06","000042","202000000031","2.0081","2.4969","","",""
"2021-08-09","000042","202000000031","2.0414","2.5302","","",""
"2021-08-10","000042","202000000031","2.0607","2.5495","","",""
"2021-08-11","000042","202000000031","2.0592","2.5480","","",""
"2021-08-12","000042","202000000031","2.0556","2.5444","","",""
"2021-08-13","000042","202000000031","2.0524","2.5412","","",""
"2021-08-16","000042","202000000031","2.0531","2.5419","","",""
"2021-08-17","000042","202000000031","2.0180","2.5068","","",""
"2021-08-18","000042","202000000031","2.0493","2.5381","","",""
"2021-08-19","000042","202000000031","2.0385","2.5273","","",""
"2021-08-20","000042","202000000031","2.0174","2.5062","","",""
"2021-08-23","000042","202000000031","2.0470","2.5358","","",""
"2021-08-24","000042","202000000031","2.0632","2.5520","","",""
"2021-08-25","000042","202000000031","2.0733","2.5621","","",""
"2021-08-26","000042","202000000031","2.0434","2.5322","","",""
"2021-08-27","000042","202000000031","2.0549","2.5437","","",""
"2021-08-30","000042","202000000031","2.0479","2.5367","","",""
"2021-08-31","000042","202000000031","2.0668","2.5556","","",""
"2021-09-01","000042","202000000031","2.0976","2.5864","","",""
"2021-09-02","000042","202000000031","2.1213","2.6101","","",""
"2021-09-03","000042","202000000031","2.1015","2.5903","","",""
"2021-09-06","000042","202000000031","2.1363","2.6251","","",""
"2021-09-07","000042","202000000031","2.1759","2.6647","","",""
"2021-09-08","000042","202000000031","2.1765","2.6653","","",""
"2021-09-09","000042","202000000031","2.1815","2.6703","","",""
"2021-09-10","000042","202000000031","2.1902","2.6790","","",""
"2021-09-13","000042","202000000031","2.1910","2.6798","","",""
"2021-09-14","000042","202000000031","2.1496","2.6384","","",""
"2021-09-15","000042","202000000031","2.1315","2.6203","","",""
"2021-09-16","000042","202000000031","2.0976","2.5864","","",""
"2021-09-17","000042","202000000031","2.1116","2.6004","","",""
"2021-09-22","000042","202000000031","2.1094","2.5982","","",""
"2021-09-23","000042","202000000031","2.1200","2.6088","","",""
"2021-09-24","000042","202000000031","2.0988","2.5876","","",""
"2021-09-27","000042","202000000031","2.0763","2.5651","","",""
"2021-09-28","000042","202000000031","2.0843","2.5731","","",""
"2021-09-29","000042","202000000031","2.0517","2.5405","","",""
"2021-09-30","000042","202000000031","2.0667","2.5555","","",""
"2021-10-08","000042","202000000031","2.0795","2.5683","","",""
"2021-10-11","000042","202000000031","2.0802","2.5690","","",""
"2021-10-12","000042","202000000031","2.0547","2.5435","","",""
"2021-10-13","000042","202000000031","2.0695","2.5583","","",""
"2021-10-14","000042","202000000031","2.0654","2.5542","","",""
"2021-10-15","000042","202000000031","2.0683","2.5571","","",""
"2021-10-18","000042","202000000031","2.0637","2.5525","","",""
"2021-10-19","000042","202000000031","2.0796","2.5684","","",""
"2021-10-20","000042","202000000031","2.0768","2.5656","","",""
"2021-10-21","000042","202000000031","2.0794","2.5682","","",""
"2021-10-22","000042","202000000031","2.0820","2.5708","","",""
"2021-10-25","000042","202000000031","2.1005","2.5893","","",""
"2021-10-26","000042","202000000031","2.0998","2.5886","","",""
"2021-10-27","000042","202000000031","2.0788","2.5676","","",""
"2021-10-28","000042","202000000031","2.0609","2.5497","","",""
"2021-10-29","000042","202000000031","2.0738","2.5626","","",""
"2021-11-01","000042","202000000031","2.0673","2.5561","","",""
"2021-11-02","000042","202000000031","2.0329","2.5217","","",""
"2021-11-03","000042","202000000031","2.0365","2.5253","","",""
"2021-11-04","000042","202000000031","2.0517","2.5405","","",""
"2021-11-05","000042","202000000031","2.0323","2.5211","","",""
"2021-11-08","000042","202000000031","2.0323","2.5211","","",""
"2021-11-09","000042","202000000031","2.0324","2.5212","","",""
"2021-11-10","000042","202000000031","2.0193","2.5081","","",""
"2021-11-11","000042","202000000031","2.0515","2.5403","","",""
"2021-11-12","000042","202000000031","2.0498","2.5386","","",""
"2021-11-15","000042","202000000031","2.0418","2.5306","","",""
"2021-11-16","000042","202000000031","2.0316","2.5204","","",""
"2021-11-17","000042","202000000031","2.0358","2.5246","","",""
"2021-11-18","000042","202000000031","2.0197","2.5085","","",""
"2021-11-19","000042","202000000031","2.0487","2.5375","","",""
"2021-11-22","000042","202000000031","2.0595","2.5483","","",""
"2021-11-23","000042","202000000031","2.0587","2.5475","","",""
"2021-11-24","000042","202000000031","2.0562","2.5450","","",""
"2021-11-25","000042","202000000031","2.0498","2.5386","","",""
"2021-11-26","000042","202000000031","2.0339","2.5227","","",""
"2021-11-29","000042","202000000031","2.0281","2.5169","","",""
