sample_index,raw_returns,training_returns,scaled_returns
0,-0.055304097932430185,-0.030245715628837027,-3.090420914989862
1,-0.03938273775470058,-0.007859273280123218,-0.8029768550905719
2,0.01772862136834985,0.009914227963099268,1.0131174223799062
3,0.009798496984426919,0.0032635180301701892,0.333548659589606
4,-0.014555178518585343,-0.014385518307147337,-1.469827808358334
5,-0.04759304193401803,-0.017839168430915292,-1.8227213739157637
6,0.012062090388387015,-0.0015767099656450252,-0.1610252706991374
7,0.03688987443649605,0.012166379794137467,1.2432420329657246
8,-0.04488230291618667,0.008593985386614104,0.878215190387665
9,0.050429749128467316,-0.0029983485872878976,-0.30628813872190025
10,-0.04637208865289888,-0.013244587506840997,-1.3532476326759382
11,0.016590441826192626,-0.010457676271432202,-1.0684813687202586
12,-0.020258897078096583,-0.0008273381669292325,-0.084454547985487
13,-0.023549675531620018,0.007082220988687353,0.7237432810892476
14,-0.007647009456858922,0.004968582410918924,0.5077719385159978
15,0.02015401471993683,-0.0068887827728706,-0.7038122486102933
16,-0.03776871894878375,-0.011038335802688082,-1.1278130916847824
17,0.007246427723635707,0.00886123316456752,0.9055225370700177
18,0.06834528589874767,0.032504744435938156,3.321413752404908
19,0.044893443216025286,0.029037473976404705,2.967128462532587
20,0.053705690382835236,0.003599044054560215,0.3678326695040569
21,-0.068297660309389,-0.009556595296530915,-0.9764090201344803
22,0.0410284448483591,0.009617062162017975,0.9827530555948609
23,0.02312131428443709,0.02716441482821662,2.77573949792522
24,0.015408379814549233,0.014722885269137223,1.5044654632810908
25,-0.04198279739442867,-0.01283551565822242,-1.3114487190469333
26,-0.022703288967841462,-0.019489999097312628,-1.9914030582552644
27,0.036196654133397566,-0.001510430434008702,-0.15425283591147562
28,0.022940590566042918,0.011870604416314216,1.2130197394665014
29,0.008664631448638938,0.003953403648471771,0.4040410913486242
30,-0.026781236085222537,-0.013855973057586835,-1.4157189367168939
31,-0.008307364772103032,-0.020789846823634765,-2.1242213468441165
32,-0.023560248898006897,-0.012887481236089158,-1.3167585557132018
33,-0.02895437100396392,0.0005414361773999447,0.055406654366668334
34,-0.003865250826342148,0.007842488957140016,0.8014273731517213
35,0.03381367361671761,0.0031677736628873683,0.3237655113430742
36,-0.033243911236799484,-0.006313802039239511,-0.6450607845226315
37,0.003882401118046941,-0.004163848258294773,-0.42537875873783265
38,0.012154657940213198,0.008031882387953479,0.8207795717525451
39,0.009279480301627618,0.01654641749672625,1.69079377293647
40,0.028123335002736116,0.011037560369095832,1.127899396190803
41,-0.015781227816788146,-0.004821102869189231,-0.4925369579779332
42,-0.02512022107711076,-0.01330533709565564,-1.3594550185531034
43,0.0060307352923183455,-0.007745172009219274,-0.7913180005798558
44,-0.023978230240362275,-0.0005440360746459504,-0.05550677334331987
45,-0.007816828076001703,-0.0030264284939381034,-0.3091573402979707
46,-0.018570619876482786,-0.015041203413987212,-1.5368256358577748
47,-0.03669732095175382,-0.023118355887585054,-2.362148130554828
48,-0.026785647382538524,-0.01735102316692906,-1.772842747956359
