test_index,strategy_nav,buy_hold_nav,strategy_return,buy_hold_return,signal
0,1.0014213503212852,1.0014213503212852,0.0014213503212852404,0.0014213503212852404,1.0
1,0.9999308320253557,0.9999308320253557,-0.0014884027541965474,-0.0014884027541965474,1.0
2,0.9968117850498686,0.9968117850498686,-0.003119262728572392,-0.003119262728572392,1.0
3,0.9952427879236052,0.9952427879236052,-0.0015740154257754986,-0.0015740154257754986,1.0
4,0.9980301328649824,0.9980301328649824,0.0028006683145049725,0.0028006683145049725,1.0
5,1.003291677070889,1.003291677070889,0.00527192920598763,0.00527192920598763,1.0
6,1.0070286077734636,1.0070286077734636,0.0037246702907817184,0.0037246702907817184,1.0
7,1.0073239483537026,1.0073239483537026,0.0002932792355242841,0.0002932792355242841,1.0
8,1.0071707663348475,1.0071707663348475,-0.00015206827863607287,-0.00015206827863607287,1.0
9,1.0073302559473638,1.0073302559473638,0.00015835409232204135,0.00015835409232204135,1.0
10,1.0060563499604067,1.0060563499604067,-0.0012646358822599284,-0.0012646358822599284,1.0
11,1.0022658634401922,1.0022658634401922,-0.0037676682030422307,-0.0037676682030422307,1.0
12,0.9976960282884593,0.9976960282884593,-0.004559503938453434,-0.004559503938453434,1.0
13,0.9949368500760842,0.9949368500760842,-0.002765549961252705,-0.002765549961252705,1.0
14,0.9943027997478462,0.9943027997478462,-0.0006372769570144382,-0.0006372769570144382,1.0
15,0.9944402541833279,0.9944402541833279,0.000138242027998397,0.000138242027998397,1.0
16,0.9935565261826061,0.9935565261826061,-0.0008886687732160788,-0.0008886687732160788,1.0
17,0.9928478489374423,0.9928478489374423,-0.0007132732023680014,-0.0007132732023680014,1.0
18,0.9951417785751079,0.9951417785751079,0.0023104543562447485,0.0023104543562447485,1.0
19,1.0022882116073155,1.0022882116073155,0.007181321482091021,0.007181321482091021,1.0
20,1.012208035904982,1.012208035904982,0.009897177461319795,0.009897177461319795,1.0
21,1.0196397318105261,1.0196397318105261,0.007342063727936715,0.007342063727936715,1.0
22,1.023434069895134,1.023434069895134,0.0037212536607125974,0.0037212536607125974,1.0
23,1.028474337164038,1.028474337164038,0.004924857806834875,0.004924857806834875,1.0
24,1.0187313046927753,1.0382173696353008,-0.009473286905853737,0.009473286905853737,-1.0
25,1.0057111031951287,1.051486618640155,-0.012780800430564182,0.012780800430564182,-1.0
26,0.9969946439025502,1.0605998125573248,-0.008666961381739221,0.008666961381739221,-1.0
27,0.9944868234902685,1.063267624140326,-0.0025153800249771542,0.0025153800249771542,-1.0
28,0.9935562840211867,1.0642625216765118,-0.0009356981380769477,0.0009356981380769477,-1.0
29,0.993051120023818,1.0648036355704564,-0.0005084402418796197,0.0005084402418796197,-1.0
30,0.9943344991329273,1.0634275264118846,0.0012923595605818165,-0.0012923595605818165,-1.0
31,1.0005094597799638,1.0568234881005365,0.006210144224525317,-0.006210144224525317,-1.0
32,1.0105554277352304,1.0462120792907028,0.010040852544738542,-0.010040852544738542,-1.0
33,1.019714844828676,1.036729479386311,0.009063745384033976,-0.009063745384033976,-1.0
34,1.024978894121942,1.0313775958563731,0.0051622758263861245,-0.0051622758263861245,-1.0
35,1.0288267724184936,1.0275056961622384,0.003754104907543356,-0.003754104907543356,-1.0
36,1.0230953311808864,1.0217816144443639,-0.00557085156729942,-0.00557085156729942,1.0
37,1.0142348402252697,1.0129325008989527,-0.008660474430461574,-0.008660474430461574,1.0
38,1.007808102156123,1.0065140151530307,-0.006336538456635132,-0.006336538456635132,1.0
39,1.0084357945923597,1.0071409015939377,0.0006228293212705041,0.0006228293212705041,1.0
40,1.012657232109759,1.0113569185283768,0.004186124233229822,0.004186124233229822,1.0
41,1.0126549794557436,1.0113546687669062,-2.224498027794024e-06,-2.224498027794024e-06,1.0
42,1.0065351900928128,1.0052427375863608,-0.006043311381552541,-0.006043311381552541,1.0
