sample_index,raw_feature_0,scaled_feature_0
0,-8.79998779296875,-4.452010120970955
1,-8.79998779296875,-4.452010120970955
2,-5.920013427734375,-2.988544669344785
3,2.5600128173828125,1.320599741252161
4,1.4399871826171875,0.751456195670022
5,-2.1599884033203125,-1.0778794957566817
6,-6.9600067138671875,-3.5170195969522324
7,1.6800079345703125,0.8734232806541784
8,5.1999969482421875,2.6621136154701417
9,-6.55999755859375,-3.3137540449586114
10,7.0399932861328125,3.5971118932768475
11,-6.8000030517578125,-3.435713376154784
12,2.32000732421875,1.1986404100559884
13,-2.8800048828125,-1.4437574893451997
14,-3.279998779296875,-1.647015287550837
15,-1.0399932861328125,-0.5087514577505101
16,2.7199859619140625,1.4018904544736421
17,-5.1999969482421875,-2.622666675756267
18,0.9600067138671875,0.5075530408536442
19,9.1199951171875,4.654069502279726
20,6.4000091552734375,3.271902517663021
21,8.0,4.084941464273554
22,-10.720001220703125,-5.427669262964368
23,6.0,3.0686369656694
24,3.519989013671875,1.8084138046729006
25,2.4000091552734375,1.2392935204547126
26,-6.6399993896484375,-3.3544071553573356
27,-3.44000244140625,-1.7283215083482855
28,5.3600006103515625,2.74341983626759
29,3.5200042724609375,1.8084215584608843
30,1.3600006103515625,0.7108108390592814
31,-4.2400054931640625,-2.134844858547544
32,-1.279998779296875,-0.6307107889466829
33,-3.600006103515625,-1.8096277291457339
34,-4.3199920654296875,-2.1754902151582844
35,-0.55999755859375,-0.2648405491461485
36,4.8799896240234375,2.499501173875245
37,-4.959991455078125,-2.5007073445600945
38,0.55999755859375,0.30428748886002305
39,1.7599945068359375,0.9140686372649188
40,1.3600006103515625,0.7108108390592814
41,4.160003662109375,2.1336386878626943
42,-2.4000091552734375,-1.199846580740838
43,-3.7599945068359375,-1.8909261961551986
44,0.8800048828125,0.46689993045491995
45,-3.5200042724609375,-1.7689746187470097
46,-1.1199951171875,-0.5494045681492343
47,-2.6399993896484375,-1.321798158149027
48,-5.1200103759765625,-2.5820213191455266
49,-3.5999908447265625,-1.8096199753577502
50,-3.1200027465820312,-1.5657129436473805
51,6.400001525878906,3.271898640769029
52,-5.44000244140625,-2.7446260069524397
53,2.8000030517578125,1.44255131866035
54,2.8000030517578125,1.44255131866035
55,0.0800018310546875,0.060376580255661484
56,4.55999755859375,2.3368964860683317
57,6.79998779296875,3.475152562080675
58,-8.55999755859375,-4.330058543562766
59,0.720001220703125,0.38559370965747153
60,-3.1199951171875,-1.5657090667533886
61,5.9199981689453125,3.027983855270676
62,-0.160003662109375,-0.061582750940511174
63,6.9600067138671875,3.556466536666107
64,5.0399932861328125,2.5808073946726933
65,-7.9199981689453125,-4.004841414160955
66,-0.3199920654296875,-0.14288121794997585
67,3.0399932861328125,1.564502896068539
68,0.720001220703125,0.38559370965747153
69,2.55999755859375,1.3205919874641774
70,7.1199951171875,3.6377650036755718
71,1.8400115966796875,0.9547295014516268
72,-0.8000030517578125,-0.38679988034232116
73,0.399993896484375,0.22298126806257465
74,-3.519989013671875,-1.768966864959026
75,-0.720001220703125,-0.34614676994359694
76,3.1999969482421875,1.6458091168659874
77,-0.720001220703125,-0.34614676994359694
78,-1.1999969482421875,-0.5900576785479585
79,0.6399993896484375,0.3449405992587473
80,4.160003662109375,2.1336386878626943
81,3.1199951171875,1.6051560064672632
82,-0.8800048828125,-0.42745299074104537
83,-0.959991455078125,-0.4680983473517859
84,3.839996337890625,1.9710262462677974
85,0.4799957275390625,0.26363437846129884
86,-4.959991455078125,-2.5007073445600945
87,1.7599945068359375,0.9140686372649188
88,-0.32000732421875,-0.14288897173795959
89,2.8800048828125,1.4832044290590742
90,-1.0399932861328125,-0.5087514577505101
91,-0.6399993896484375,-0.30549365954487273
92,-0.0800018310546875,-0.020929640541786955
93,-0.6399993896484375,-0.30549365954487273
94,-6.480010986328125,-3.273108688347871
95,1.6800079345703125,0.8734232806541784
96,5.279998779296875,2.702766725868866
97,-2.0,-0.9965810287472171
98,-4.4799957275390625,-2.256796435955733
99,-1.6800079345703125,-0.8339763409403039
